window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7876,-0.1671,0.813,1.3091,0.0,802500.0,170450.0,219,191,0.15,0.2,0.35,0.6,0.75,0.85,0.95,1.0,0.5,0.7,0.06,0.04
3,-0.7876,-0.1672,0.813,1.2985,0.0,763500.0,162154.0,219,191,0.1,0.2,0.45,0.6,0.65,0.85,0.95,1.0,0.6,0.7,0.06,0.04
3,-0.7876,-0.1671,0.813,1.3091,0.0,802500.0,170450.0,219,191,0.15,0.2,0.35,0.5,0.7,0.85,0.95,1.0,0.55,0.8,0.06,0.04
3,-0.7876,-0.1672,0.813,1.2985,0.0,763500.0,162154.0,219,191,0.1,0.2,0.45,0.7,0.65,0.85,0.95,1.0,0.65,0.7,0.08,0.04
3,-0.7876,-0.1671,0.813,1.3091,0.0,802500.0,170450.0,219,191,0.15,0.2,0.45,0.6,0.7,0.85,0.95,1.0,0.6,0.7,0.06,0.04
5,-0.5739,-0.0958,0.652,1.8021,0.0,783000.0,333635.0,225,206,0.1,0.15,0.3,0.65,0.75,0.85,0.95,1.0,0.6,0.75,0.06,0.05
5,-0.5739,-0.0958,0.652,1.4471,0.0,847500.0,361096.0,225,206,0.15,0.2,0.35,0.6,0.7,0.85,0.95,1.0,0.55,0.75,0.1,0.05
5,-0.5739,-0.0958,0.652,1.8021,0.0,783000.0,333635.0,225,206,0.1,0.15,0.4,0.7,0.65,0.85,0.95,1.0,0.5,0.8,0.12,0.05
5,-0.5739,-0.0958,0.652,1.8021,0.0,783000.0,333635.0,225,206,0.1,0.15,0.4,0.6,0.7,0.85,0.95,1.0,0.5,0.8,0.12,0.05
5,-0.5739,-0.0958,0.652,1.8021,0.0,783000.0,333635.0,225,206,0.1,0.15,0.4,0.65,0.75,0.85,0.95,1.0,0.55,0.75,0.1,0.05
8,0.0815,0.0093,0.1305,2.0707,0.0712,807000.0,872785.0,235,222,0.1,0.15,0.4,0.65,0.7,0.85,0.95,1.0,0.65,0.75,0.06,0.05
8,0.0815,0.0093,0.1305,2.0707,0.0712,807000.0,872785.0,235,222,0.1,0.15,0.35,0.55,0.75,0.85,0.95,1.0,0.65,0.8,0.08,0.05
8,0.0815,0.0093,0.1305,2.0707,0.0712,807000.0,872785.0,235,222,0.1,0.15,0.45,0.7,0.7,0.85,0.95,1.0,0.6,0.7,0.06,0.05
8,0.0815,0.0093,0.1305,2.0707,0.0712,807000.0,872785.0,235,222,0.1,0.15,0.4,0.6,0.7,0.85,0.95,1.0,0.65,0.75,0.1,0.05
8,0.0815,0.0093,0.1305,2.0707,0.0712,807000.0,872785.0,235,222,0.1,0.15,0.4,0.7,0.75,0.85,0.95,1.0,0.5,0.8,0.12,0.05
