window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.5865,-0.1031,0.6539,1.5109,0,758250.0,313542.0,237,217,0.1,0.15,0.35,0.55,0.7,0.85,0.95,0.5,0.55,0.75,0.08,0.05
3,-0.5865,-0.1031,0.6539,1.5317,0,822000.0,339890.0,237,217,0.1,0.25,0.3,0.55,0.7,0.85,0.95,0.5,0.65,0.7,0.06,0.05
3,-0.5866,-0.1032,0.6539,1.5329,0,825750.0,341343.0,237,217,0.1,0.25,0.45,0.5,0.65,0.85,0.95,0.5,0.6,0.7,0.06,0.05
3,-0.5866,-0.1032,0.6539,1.5349,0,831750.0,343856.0,237,217,0.1,0.3,0.35,0.55,0.65,0.85,0.95,0.5,0.65,0.8,0.12,0.05
3,-0.5866,-0.1032,0.6539,1.5349,0,831750.0,343856.0,237,217,0.1,0.3,0.35,0.6,0.65,0.85,0.95,0.5,0.65,0.75,0.1,0.05
5,-0.4168,-0.0643,0.5355,1.8009,0,996750.0,581265.0,273,257,0.2,0.25,0.3,0.7,0.75,0.85,0.95,0.5,0.5,0.8,0.08,0.05
5,-0.4168,-0.0643,0.5355,1.8009,0,996750.0,581265.0,273,257,0.2,0.25,0.3,0.7,0.7,0.85,0.95,0.5,0.65,0.8,0.08,0.05
5,-0.4171,-0.0644,0.5355,1.5407,0,911250.0,531164.0,273,257,0.1,0.25,0.3,0.55,0.7,0.85,0.95,0.5,0.6,0.7,0.08,0.05
5,-0.4171,-0.0644,0.5355,1.5407,0,911250.0,531164.0,273,257,0.1,0.25,0.3,0.65,0.7,0.85,0.95,0.5,0.55,0.7,0.12,0.05
5,-0.4172,-0.0644,0.5355,1.5265,0,849750.0,495198.0,273,257,0.05,0.25,0.3,0.65,0.7,0.85,0.95,0.5,0.65,0.7,0.08,0.05
8,-0.2049,-0.0279,0.3557,1.589,0,866250.0,688776.0,282,269,0.05,0.2,0.3,0.7,0.65,0.85,0.95,0.5,0.65,0.75,0.06,0.05
8,-0.2051,-0.0279,0.3551,1.8927,0,981750.0,780368.0,282,269,0.15,0.2,0.35,0.65,0.7,0.85,0.95,0.5,0.5,0.8,0.08,0.05
8,-0.2051,-0.0279,0.3559,1.6037,0,933750.0,742215.0,282,269,0.1,0.2,0.3,0.6,0.65,0.85,0.95,0.5,0.5,0.8,0.1,0.05
8,-0.2051,-0.0279,0.3559,1.6037,0,933750.0,742215.0,282,269,0.1,0.2,0.3,0.65,0.7,0.85,0.95,0.5,0.5,0.7,0.08,0.05
8,-0.2055,-0.028,0.3537,1.9047,0,1063500.0,844913.0,282,269,0.2,0.25,0.45,0.7,0.7,0.85,0.95,0.5,0.6,0.8,0.1,0.05
