window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7696,-0.1712,0.7997,1.5894,0.0,817500.0,188343.0,281,259,0.1,0.15,0.3,0.5,0.7,0.85,0.95,0.0,0.5,0.75,0.12,0.04
3,-0.7697,-0.1712,0.7997,1.5573,0.0,830250.0,191216.0,281,259,0.05,0.25,0.35,0.5,0.7,0.85,0.95,-0.5,0.5,0.75,0.06,0.04
3,-0.7697,-0.1712,0.7997,1.5588,0.0,825750.0,190134.0,292,270,0.1,0.15,0.3,0.6,0.75,0.85,0.95,-0.5,0.5,0.75,0.12,0.04
3,-0.7697,-0.169,0.7997,1.7356,0.0,919500.0,211758.0,285,263,0.1,0.3,0.4,0.5,0.65,0.85,0.95,0.0,0.6,0.75,0.12,0.04
3,-0.7697,-0.1712,0.7997,1.5416,0.0,921000.0,212073.0,292,270,0.1,0.3,0.35,0.6,0.7,0.85,0.95,-0.5,0.5,0.8,0.12,0.04
5,-0.5323,-0.093,0.6064,2.0553,0.0,994500.0,465086.0,302,290,0.2,0.25,0.3,0.55,0.7,0.85,0.9,1.0,0.5,0.7,0.1,0.04
5,-0.5323,-0.0927,0.6064,1.9166,0.0,1035750.0,484371.0,303,291,0.2,0.3,0.35,0.6,0.75,0.85,0.9,0.5,0.5,0.7,0.08,0.04
5,-0.5323,-0.0935,0.6064,0.9499,0.0,1032000.0,482701.0,298,286,0.2,0.3,0.35,0.5,0.65,0.85,0.9,1.0,0.6,0.8,0.06,0.04
5,-0.5326,-0.0927,0.6064,1.8897,0.0,896250.0,418893.0,303,291,0.05,0.3,0.35,0.65,0.7,0.85,0.9,1.0,0.5,0.8,0.12,0.04
5,-0.5326,-0.0927,0.6064,2.0393,0.0,855750.0,399938.0,303,291,0.05,0.25,0.3,0.7,0.65,0.85,0.9,1.0,0.5,0.75,0.12,0.04
8,-0.1637,-0.0221,0.2962,2.1351,0.0,1026000.0,858076.0,342,332,0.2,0.25,0.3,0.5,0.7,0.85,0.95,0.5,0.65,0.7,0.06,0.03
8,-0.1637,-0.0221,0.2962,2.1351,0.0,1026000.0,858076.0,342,332,0.2,0.25,0.3,0.5,0.7,0.85,0.95,1.0,0.65,0.8,0.08,0.04
8,-0.1641,-0.0227,0.2902,1.7528,0.0,1107750.0,925947.0,348,338,0.2,0.3,0.35,0.55,0.75,0.85,0.95,0.5,0.5,0.75,0.1,0.03
8,-0.1641,-0.0223,0.2963,2.0675,0.0,1038000.0,867698.0,337,327,0.2,0.25,0.35,0.5,0.75,0.85,0.95,-0.5,0.55,0.8,0.12,0.04
8,-0.1641,-0.0222,0.2951,2.1541,0.0,1114500.0,931557.0,342,332,0.2,0.3,0.4,0.5,0.75,0.85,0.95,0.0,0.65,0.8,0.08,0.04
10,0.1467,0.0174,0.1554,2.1784,0.1119,1217250.0,1395774.0,367,361,0.2,0.25,0.3,0.5,0.75,0.85,0.95,1.0,0.6,0.8,0.06,0.05
10,0.1463,0.0177,0.1554,1.7531,0.1142,1216500.0,1394500.0,366,360,0.2,0.25,0.3,0.6,0.7,0.85,0.95,1.0,0.5,0.8,0.08,0.05
10,0.1462,0.0174,0.1554,2.1625,0.1116,1221000.0,1399566.0,372,366,0.2,0.25,0.3,0.55,0.7,0.85,0.95,0.5,0.6,0.8,0.06,0.03
10,0.146,0.0175,0.1554,2.0569,0.1123,1221000.0,1399310.0,372,366,0.2,0.25,0.3,0.6,0.7,0.85,0.95,0.5,0.55,0.7,0.1,0.04
10,0.1458,0.0173,0.1545,2.1934,0.112,1231500.0,1411026.0,367,361,0.2,0.25,0.35,0.5,0.7,0.85,0.95,0.0,0.6,0.8,0.08,0.03
