window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.8899,-0.2284,0.8839,1.4209,0,465750.0,51301.0,165,139,0.05,0.3,0.45,0.65,0.7,0.85,0.95,1.0,0.5,0.8,0.08,0.04
3,-0.8899,-0.2284,0.8839,1.4209,0,465750.0,51301.0,165,139,0.05,0.3,0.45,0.6,0.65,0.85,0.95,1.0,0.5,0.8,0.12,0.04
3,-0.8901,-0.2284,0.8849,1.055,0,569250.0,62563.0,244,218,0.05,0.3,0.45,0.55,0.7,0.85,0.95,-0.5,0.5,0.75,0.06,0.04
3,-0.8901,-0.2285,0.8855,0.848,0,602250.0,66161.0,255,229,0.1,0.3,0.4,0.7,0.75,0.85,0.95,0.0,0.5,0.7,0.1,0.04
3,-0.8901,-0.2284,0.8849,1.0374,0,576000.0,63321.0,253,227,0.05,0.3,0.45,0.65,0.65,0.85,0.95,-0.5,0.5,0.75,0.12,0.04
5,-0.7904,-0.1678,0.825,0.8805,0,516000.0,108137.0,248,232,0.05,0.15,0.35,0.65,0.75,0.85,0.95,0.0,0.5,0.8,0.1,0.05
5,-0.7904,-0.1679,0.825,1.6693,0,524250.0,109865.0,174,158,0.05,0.3,0.4,0.5,0.75,0.85,0.95,1.0,0.5,0.75,0.08,0.05
5,-0.7904,-0.1679,0.825,1.6693,0,524250.0,109865.0,174,158,0.05,0.3,0.4,0.7,0.7,0.85,0.95,1.0,0.5,0.7,0.12,0.05
5,-0.7904,-0.1679,0.825,1.67,0,525000.0,110036.0,174,158,0.05,0.3,0.45,0.5,0.65,0.85,0.95,1.0,0.5,0.8,0.12,0.05
5,-0.7904,-0.1678,0.825,0.878,0,504750.0,105795.0,248,232,0.05,0.15,0.3,0.65,0.75,0.85,0.95,0.0,0.5,0.8,0.1,0.05
8,-0.6015,-0.1025,0.7069,0.9283,0,518250.0,206527.0,258,243,0.05,0.15,0.3,0.7,0.7,0.85,0.95,0.0,0.5,0.7,0.1,0.03
8,-0.6017,-0.1026,0.7069,2.0032,0,465000.0,185226.0,180,165,0.05,0.15,0.45,0.7,0.7,0.85,0.95,1.0,0.5,0.7,0.06,0.03
8,-0.6018,-0.1026,0.7069,0.9753,0,568500.0,226356.0,241,226,0.05,0.25,0.3,0.55,0.65,0.85,0.95,-0.5,0.5,0.8,0.08,0.03
8,-0.6018,-0.1026,0.7069,1.9915,0,521250.0,207573.0,178,163,0.05,0.25,0.3,0.5,0.65,0.85,0.95,1.0,0.5,0.75,0.06,0.03
8,-0.6018,-0.1026,0.7069,0.9769,0,531750.0,211735.0,236,221,0.05,0.2,0.3,0.5,0.75,0.85,0.95,0.0,0.5,0.8,0.1,0.03
