window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.8153,-0.1785,0.811,1.4131,0,536250.0,99050.0,221,196,0.05,0.3,0.45,0.5,0.7,0.85,0.95,0.0,0.5,0.8,0.08,0.05
3,-0.8154,-0.1786,0.8053,1.3192,0,570750.0,105384.0,221,196,0.2,0.25,0.45,0.5,0.65,0.85,0.95,-0.5,0.5,0.7,0.12,0.05
3,-0.8154,-0.1786,0.8113,1.446,0,436500.0,80588.0,193,168,0.05,0.2,0.3,0.65,0.65,0.85,0.95,0.5,0.5,0.75,0.12,0.05
3,-0.8155,-0.1787,0.8111,1.519,0,433500.0,79965.0,149,124,0.15,0.2,0.3,0.65,0.75,0.85,0.95,1.0,0.5,0.8,0.08,0.05
3,-0.8156,-0.1787,0.8116,1.3061,0,510000.0,94059.0,221,196,0.1,0.2,0.4,0.5,0.75,0.85,0.95,-0.5,0.5,0.8,0.08,0.05
5,-0.3078,-0.042,0.4019,1.7998,0,519000.0,359238.0,239,221,0.05,0.15,0.35,0.65,0.65,0.85,0.95,0.5,0.5,0.75,0.06,0.05
5,-0.3079,-0.042,0.4011,1.7972,0,521250.0,360757.0,242,224,0.05,0.15,0.35,0.7,0.75,0.85,0.95,0.5,0.5,0.7,0.1,0.05
5,-0.3081,-0.042,0.4019,1.7445,0,647250.0,447804.0,265,247,0.05,0.3,0.4,0.5,0.7,0.85,0.95,0.0,0.5,0.75,0.08,0.05
5,-0.3083,-0.042,0.4019,1.7999,0,530250.0,366755.0,234,216,0.05,0.15,0.45,0.55,0.7,0.85,0.95,0.5,0.5,0.8,0.12,0.05
5,-0.3086,-0.0421,0.4011,1.7965,0,521250.0,360385.0,242,224,0.05,0.2,0.3,0.7,0.7,0.85,0.95,0.5,0.5,0.8,0.06,0.05
8,-0.6146,-0.1051,0.6601,1.8144,0,500250.0,192787.0,179,168,0.05,0.2,0.45,0.55,0.65,0.85,0.95,1.0,0.5,0.8,0.12,0.04
8,-0.6147,-0.1052,0.6601,1.7505,0,513000.0,197674.0,177,166,0.1,0.15,0.4,0.5,0.7,0.85,0.95,1.0,0.5,0.7,0.1,0.04
8,-0.6147,-0.1052,0.6601,1.543,0,709500.0,273356.0,278,267,0.05,0.3,0.4,0.5,0.7,0.85,0.95,-0.5,0.5,0.7,0.1,0.04
8,-0.6149,-0.1052,0.6601,1.7695,0,474000.0,182551.0,183,172,0.05,0.15,0.3,0.65,0.65,0.85,0.95,1.0,0.55,0.75,0.12,0.04
8,-0.615,-0.1052,0.6601,1.7877,0,480750.0,185092.0,181,170,0.05,0.15,0.45,0.6,0.75,0.85,0.95,1.0,0.55,0.75,0.12,0.04
