window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.8658,-0.2162,0.8397,1.1268,0.0,660000.0,88558.0,258,235,0.2,0.3,0.45,0.55,0.75,0.85,0.95,0.5,0.5,0.8,0.12,0.05
3,-0.866,-0.2164,0.8412,1.1053,0.0,615750.0,82510.0,258,235,0.2,0.25,0.35,0.55,0.75,0.85,0.95,0.5,0.5,0.75,0.06,0.05
3,-0.866,-0.2164,0.8415,1.0804,0.0,625500.0,83808.0,271,248,0.2,0.25,0.35,0.65,0.75,0.85,0.95,0.5,0.5,0.7,0.08,0.05
3,-0.8662,-0.2165,0.84,1.0788,0.0,609000.0,81469.0,268,245,0.15,0.2,0.45,0.6,0.65,0.85,0.95,-0.5,0.5,0.7,0.1,0.05
3,-0.8662,-0.2165,0.8399,1.0821,0.0,663000.0,88715.0,278,255,0.15,0.3,0.45,0.7,0.65,0.85,0.95,-0.5,0.5,0.75,0.1,0.05
5,-0.5852,-0.1012,0.6677,1.5586,0.0,687750.0,285297.0,327,311,0.05,0.2,0.3,0.55,0.65,0.85,0.95,-0.5,0.5,0.75,0.1,0.04
5,-0.5852,-0.1012,0.6677,1.555,0.0,688500.0,285573.0,328,312,0.05,0.2,0.3,0.6,0.75,0.85,0.95,0.5,0.5,0.75,0.06,0.04
5,-0.5853,-0.1012,0.6677,1.5585,0.0,696750.0,288913.0,328,312,0.05,0.2,0.35,0.6,0.65,0.85,0.95,0.0,0.5,0.8,0.06,0.04
5,-0.5853,-0.1013,0.6677,1.428,0.0,759000.0,314724.0,331,315,0.05,0.25,0.35,0.65,0.7,0.85,0.95,1.0,0.5,0.75,0.08,0.04
5,-0.5853,-0.1012,0.6677,1.4777,0.0,767250.0,318188.0,305,289,0.05,0.25,0.45,0.5,0.65,0.85,0.95,0.5,0.5,0.75,0.12,0.04
8,-0.4299,-0.0665,0.5194,1.5438,0.0,809250.0,461376.0,340,330,0.05,0.2,0.3,0.65,0.75,0.85,0.95,-0.5,0.5,0.7,0.08,0.04
8,-0.4301,-0.0666,0.5194,1.694,0.0,735000.0,418858.0,325,315,0.05,0.15,0.3,0.55,0.7,0.85,0.95,0.5,0.5,0.75,0.1,0.04
8,-0.4302,-0.0666,0.5194,1.7482,0.0,848250.0,483297.0,340,330,0.05,0.25,0.3,0.65,0.7,0.85,0.95,0.0,0.5,0.75,0.08,0.04
8,-0.4303,-0.0666,0.5194,1.6691,0.0,741000.0,422138.0,333,323,0.05,0.15,0.3,0.6,0.65,0.85,0.95,-0.5,0.5,0.7,0.12,0.04
8,-0.4303,-0.0666,0.5194,1.6492,0.0,746250.0,425112.0,340,330,0.05,0.15,0.3,0.65,0.75,0.85,0.95,1.0,0.5,0.75,0.1,0.04
10,0.4758,0.0483,0.2372,2.0058,0.2039,846000.0,1248545.0,322,318,0.05,0.2,0.3,0.5,0.65,0.85,0.9,0.0,0.5,0.75,0.1,0.03
10,0.4758,0.0483,0.2375,1.9453,0.2036,853500.0,1259593.0,332,328,0.05,0.2,0.3,0.55,0.75,0.85,0.9,1.0,0.5,0.75,0.06,0.03
10,0.4758,0.0483,0.2375,1.9453,0.2036,853500.0,1259593.0,332,328,0.05,0.2,0.3,0.55,0.75,0.85,0.9,0.0,0.5,0.75,0.1,0.03
10,0.4751,0.0483,0.2378,1.9296,0.2031,861750.0,1271140.0,343,339,0.05,0.2,0.3,0.6,0.7,0.85,0.95,1.0,0.5,0.7,0.08,0.05
10,0.4751,0.0483,0.2378,1.9296,0.2031,861750.0,1271140.0,343,339,0.05,0.2,0.3,0.6,0.75,0.85,0.9,0.0,0.5,0.8,0.08,0.03
