window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.5642,-0.0933,0.646,1.0024,0,717000.0,312449.0,247,223,0.05,0.3,0.35,0.6,0.65,0.85,0.95,0.5,0.65,0.75,0.06,0.05
3,-0.5643,-0.0933,0.646,0.9572,0,740250.0,322492.0,272,248,0.05,0.3,0.4,0.5,0.65,0.85,0.95,-0.5,0.65,0.75,0.12,0.05
3,-0.5644,-0.0933,0.646,0.9942,0,648000.0,282247.0,245,221,0.05,0.15,0.4,0.5,0.75,0.85,0.95,0.5,0.5,0.8,0.1,0.05
3,-0.5645,-0.0934,0.646,0.808,0,762750.0,332185.0,246,222,0.1,0.3,0.35,0.55,0.7,0.85,0.95,0.5,0.5,0.7,0.12,0.05
3,-0.5645,-0.0934,0.646,0.808,0,762750.0,332185.0,246,222,0.1,0.3,0.35,0.55,0.65,0.85,0.95,0.5,0.6,0.75,0.08,0.05
5,-0.1194,-0.0149,0.3157,1.87,0,674250.0,593756.0,198,183,0.1,0.15,0.3,0.7,0.65,0.85,0.9,1.0,0.6,0.75,0.06,0.05
5,-0.1195,-0.0149,0.3157,2.2628,0,629250.0,554024.0,198,183,0.05,0.15,0.3,0.6,0.7,0.85,0.9,1.0,0.65,0.8,0.08,0.05
5,-0.1195,-0.0149,0.3157,2.2628,0,629250.0,554024.0,198,183,0.05,0.15,0.3,0.55,0.65,0.85,0.9,1.0,0.5,0.75,0.06,0.05
5,-0.1197,-0.0149,0.3157,1.8848,0,697500.0,614043.0,198,183,0.1,0.2,0.35,0.65,0.65,0.85,0.9,1.0,0.5,0.8,0.08,0.05
5,-0.1197,-0.0149,0.3157,1.8848,0,697500.0,614043.0,198,183,0.1,0.2,0.45,0.5,0.65,0.85,0.9,1.0,0.6,0.8,0.1,0.05
8,-0.1114,-0.0138,0.313,1.9052,0,687000.0,610459.0,194,187,0.1,0.15,0.45,0.65,0.7,0.85,0.9,1.0,0.5,0.7,0.1,0.05
8,-0.1114,-0.0138,0.313,2.3132,0,660750.0,587153.0,194,187,0.05,0.2,0.3,0.5,0.75,0.85,0.9,1.0,0.55,0.8,0.12,0.05
8,-0.1114,-0.0138,0.313,2.3132,0,660750.0,587153.0,194,187,0.05,0.2,0.3,0.6,0.7,0.85,0.9,1.0,0.65,0.75,0.12,0.05
8,-0.1115,-0.0138,0.313,2.3171,0,641250.0,569722.0,194,187,0.05,0.15,0.35,0.6,0.75,0.85,0.9,1.0,0.65,0.7,0.12,0.05
8,-0.1115,-0.0138,0.313,2.3171,0,641250.0,569722.0,194,187,0.05,0.15,0.35,0.65,0.65,0.85,0.9,1.0,0.55,0.7,0.1,0.05
