window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.346,-0.0491,0.4189,2.3443,0.0,552750.0,361514.0,186,157,0.1,0.3,0.4,0.7,0.7,0.85,0.95,1.0,0.55,0.7,0.1,0.05
3,-0.3461,-0.0491,0.4234,2.3122,0.0,513000.0,335465.0,186,157,0.05,0.3,0.45,0.7,0.7,0.85,0.95,1.0,0.55,0.7,0.1,0.05
3,-0.3462,-0.0491,0.4233,2.3092,0.0,509250.0,332924.0,186,157,0.05,0.25,0.45,0.65,0.65,0.85,0.95,1.0,0.6,0.8,0.1,0.05
3,-0.3462,-0.0491,0.4233,2.3069,0.0,507000.0,331453.0,186,157,0.05,0.25,0.45,0.7,0.7,0.85,0.95,1.0,0.55,0.75,0.1,0.05
3,-0.3464,-0.0492,0.4234,2.3174,0.0,511500.0,334307.0,185,156,0.05,0.3,0.4,0.65,0.7,0.85,0.95,1.0,0.55,0.8,0.06,0.05
5,0.0122,0.0014,0.4256,2.4562,0.0034,587250.0,594440.0,195,173,0.15,0.3,0.45,0.65,0.7,0.85,0.95,1.0,0.65,0.7,0.12,0.05
5,0.0115,0.0013,0.4291,2.6746,0.0031,425250.0,430120.0,195,173,0.05,0.15,0.45,0.6,0.7,0.85,0.95,1.0,0.65,0.7,0.1,0.05
5,0.0113,0.0013,0.4256,2.453,0.0031,584250.0,590856.0,195,173,0.15,0.3,0.4,0.65,0.65,0.85,0.95,1.0,0.65,0.7,0.06,0.05
5,0.0109,0.0013,0.429,2.6127,0.003,518250.0,523874.0,183,161,0.1,0.3,0.4,0.55,0.7,0.85,0.95,1.0,0.55,0.75,0.06,0.05
5,0.0099,0.0012,0.4214,2.4573,0.0028,621750.0,627902.0,195,173,0.2,0.3,0.45,0.6,0.7,0.85,0.95,1.0,0.65,0.8,0.06,0.05
8,0.0037,0.0005,0.4256,2.3612,0.0011,594750.0,596974.0,212,193,0.15,0.3,0.45,0.6,0.75,0.85,0.95,1.0,0.65,0.8,0.08,0.05
8,0.0032,0.0004,0.4296,2.5716,0.0009,467250.0,468745.0,216,197,0.1,0.15,0.4,0.7,0.65,0.85,0.95,1.0,0.65,0.75,0.08,0.05
8,0.0016,0.0002,0.4291,2.546,0.0005,432750.0,433451.0,216,197,0.05,0.15,0.4,0.7,0.65,0.85,0.95,1.0,0.65,0.75,0.12,0.05
8,0.0015,0.0002,0.4337,2.6417,0.0004,451500.0,452169.0,203,184,0.1,0.15,0.4,0.6,0.75,0.85,0.95,1.0,0.6,0.7,0.08,0.05
8,0.0011,0.0001,0.4241,2.5588,0.0003,507750.0,508303.0,191,172,0.05,0.3,0.35,0.5,0.75,0.85,0.95,1.0,0.65,0.7,0.1,0.05
