window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.1186,-0.0156,0.3974,2.5151,0,315000.0,277630.0,114,90,0.05,0.3,0.4,0.55,0.65,0.85,0.95,1.0,0.55,0.75,0.12,0.04
3,-0.1186,-0.0156,0.3974,2.5151,0,315000.0,277630.0,114,90,0.05,0.3,0.35,0.6,0.75,0.85,0.95,1.0,0.65,0.75,0.12,0.05
3,-0.1196,-0.0157,0.3974,2.5216,0,312000.0,274681.0,113,89,0.05,0.3,0.4,0.5,0.75,0.85,0.95,1.0,0.5,0.8,0.1,0.04
3,-0.1196,-0.0157,0.3974,2.5216,0,312000.0,274681.0,113,89,0.05,0.3,0.4,0.6,0.75,0.85,0.95,1.0,0.5,0.8,0.08,0.05
3,-0.1201,-0.0158,0.3995,2.5589,0,345000.0,303580.0,114,90,0.1,0.3,0.35,0.6,0.7,0.85,0.95,1.0,0.55,0.8,0.06,0.05
5,-0.102,-0.0132,0.3978,2.6395,0,327000.0,293647.0,108,90,0.1,0.3,0.45,0.7,0.65,0.85,0.95,1.0,0.65,0.8,0.08,0.04
5,-0.1043,-0.0135,0.3978,2.6476,0,324000.0,290212.0,107,89,0.1,0.3,0.35,0.5,0.75,0.85,0.95,1.0,0.65,0.7,0.06,0.04
5,-0.1047,-0.0136,0.397,2.6815,0,352500.0,315602.0,108,90,0.2,0.3,0.4,0.7,0.65,0.85,0.95,1.0,0.6,0.75,0.08,0.04
5,-0.1047,-0.0136,0.397,2.6815,0,352500.0,315602.0,108,90,0.2,0.3,0.4,0.55,0.65,0.85,0.95,1.0,0.6,0.8,0.1,0.04
5,-0.1047,-0.0136,0.397,2.6815,0,352500.0,315602.0,108,90,0.2,0.3,0.4,0.55,0.7,0.85,0.95,1.0,0.6,0.7,0.08,0.05
8,-0.0562,-0.0077,0.3948,2.4158,0,361500.0,341188.0,137,121,0.05,0.3,0.4,0.65,0.65,0.85,0.95,1.0,0.65,0.8,0.06,0.04
8,-0.0571,-0.0078,0.3948,2.4422,0,359250.0,338728.0,134,118,0.05,0.3,0.4,0.6,0.7,0.85,0.95,1.0,0.65,0.75,0.1,0.04
8,-0.0573,-0.0078,0.3948,2.4031,0,360000.0,339376.0,138,122,0.05,0.3,0.35,0.7,0.7,0.85,0.95,1.0,0.65,0.7,0.06,0.04
8,-0.0576,-0.0079,0.3948,2.4264,0,355500.0,335034.0,135,119,0.05,0.3,0.4,0.65,0.7,0.85,0.95,1.0,0.6,0.7,0.12,0.04
8,-0.0585,-0.008,0.3948,2.4533,0,353250.0,332574.0,132,116,0.05,0.3,0.4,0.6,0.75,0.85,0.95,1.0,0.6,0.7,0.1,0.04
