window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.3764,-0.0585,0.4384,2.1438,0,435000.0,271246.0,219,192,0.05,0.25,0.3,0.7,0.7,0.85,0.95,1.0,0.5,0.8,0.08,0.05
3,-0.3775,-0.0587,0.4429,2.2861,0,384750.0,239525.0,204,177,0.1,0.15,0.35,0.6,0.65,0.85,0.95,0.0,0.5,0.75,0.08,0.05
3,-0.3777,-0.0588,0.4381,2.5195,0,509250.0,316888.0,219,192,0.15,0.25,0.4,0.7,0.65,0.85,0.95,1.0,0.5,0.75,0.1,0.05
3,-0.3782,-0.0589,0.4377,2.0639,0,496500.0,308716.0,219,192,0.05,0.3,0.45,0.7,0.65,0.85,0.95,0.5,0.5,0.7,0.06,0.05
3,-0.3786,-0.0589,0.4397,2.0088,0,481500.0,299199.0,219,192,0.05,0.3,0.35,0.7,0.75,0.85,0.95,0.5,0.5,0.7,0.12,0.05
5,-0.0995,-0.0136,0.5858,2.3553,0,317250.0,285684.0,224,206,0.1,0.15,0.35,0.7,0.65,0.85,0.95,-0.5,0.5,0.7,0.12,0.05
5,-0.1031,-0.0141,0.5858,2.3963,0,311250.0,279171.0,216,198,0.1,0.15,0.35,0.65,0.7,0.85,0.95,0.5,0.5,0.7,0.08,0.05
5,-0.1059,-0.0145,0.5861,2.3534,0,321000.0,287006.0,224,206,0.1,0.2,0.3,0.7,0.65,0.85,0.95,1.0,0.5,0.75,0.12,0.05
5,-0.1068,-0.0145,0.5824,2.3133,0,328500.0,293418.0,236,218,0.1,0.15,0.35,0.65,0.65,0.85,0.95,0.5,0.55,0.8,0.06,0.05
5,-0.1086,-0.0149,0.5866,2.303,0,337500.0,300855.0,224,206,0.1,0.15,0.45,0.7,0.65,0.85,0.95,0.0,0.5,0.8,0.06,0.05
8,-0.0224,-0.003,0.5854,2.2915,0,260250.0,254411.0,223,204,0.15,0.2,0.3,0.7,0.65,0.85,0.95,1.0,0.5,0.7,0.06,0.05
8,-0.0286,-0.0038,0.5831,2.5299,0,210000.0,203997.0,178,159,0.1,0.15,0.3,0.55,0.65,0.85,0.95,1.0,0.5,0.8,0.08,0.05
8,-0.0291,-0.0038,0.5861,2.2964,0,265500.0,257781.0,223,204,0.1,0.2,0.35,0.7,0.7,0.85,0.95,0.0,0.5,0.7,0.06,0.05
8,-0.0327,-0.0044,0.5848,2.5439,0,226500.0,219104.0,178,159,0.15,0.2,0.3,0.55,0.7,0.85,0.95,-0.5,0.5,0.7,0.1,0.05
8,-0.0336,-0.0045,0.5775,2.5535,0,232500.0,224697.0,184,165,0.1,0.15,0.35,0.5,0.75,0.85,0.95,-0.5,0.6,0.7,0.06,0.05
10,-0.1208,-0.0163,0.6019,2.2637,0,237000.0,208381.0,209,189,0.15,0.2,0.3,0.65,0.7,0.85,0.95,-0.5,0.5,0.75,0.06,0.05
10,-0.1301,-0.0176,0.6006,2.2866,0,186000.0,161808.0,193,173,0.05,0.15,0.3,0.6,0.7,0.85,0.95,-0.5,0.5,0.8,0.08,0.05
10,-0.1301,-0.0176,0.6006,2.2866,0,186000.0,161808.0,193,173,0.05,0.15,0.3,0.6,0.75,0.85,0.95,0.0,0.5,0.8,0.06,0.05
10,-0.1337,-0.0181,0.6028,2.2975,0,274500.0,237801.0,209,189,0.2,0.25,0.3,0.65,0.75,0.85,0.95,0.0,0.5,0.8,0.1,0.05
10,-0.1347,-0.0182,0.6024,2.3028,0,252000.0,218063.0,212,192,0.15,0.25,0.3,0.6,0.7,0.85,0.95,-0.5,0.55,0.75,0.08,0.05
