window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,0.465,0.0489,0.4628,2.2426,0.1057,555000.0,813073.0,192,158,0.05,0.15,0.45,0.6,0.7,0.85,0.95,1.0,0.55,0.7,0.1,0.04
3,0.465,0.0489,0.4628,2.2426,0.1057,555000.0,813073.0,192,158,0.05,0.15,0.45,0.5,0.7,0.85,0.95,1.0,0.5,0.7,0.12,0.04
3,0.4645,0.0489,0.4628,2.2375,0.1056,553500.0,810619.0,193,159,0.05,0.15,0.4,0.65,0.7,0.85,0.95,1.0,0.65,0.8,0.08,0.03
3,0.4645,0.0489,0.4628,2.2375,0.1056,553500.0,810619.0,193,159,0.05,0.15,0.4,0.7,0.75,0.85,0.95,1.0,0.65,0.8,0.1,0.04
3,0.4642,0.0488,0.4628,2.2532,0.1055,588000.0,860929.0,192,158,0.1,0.15,0.45,0.65,0.65,0.85,0.95,1.0,0.5,0.7,0.12,0.03
5,0.5466,0.0643,0.795,2.0408,0.0809,520500.0,804990.0,189,163,0.05,0.3,0.35,0.55,0.65,0.85,0.95,1.0,0.55,0.75,0.1,0.04
5,0.546,0.0643,0.795,2.0372,0.0808,525750.0,812787.0,190,164,0.05,0.3,0.4,0.55,0.75,0.85,0.95,1.0,0.6,0.8,0.1,0.04
5,0.5457,0.0642,0.7968,2.0447,0.0806,526500.0,813809.0,189,163,0.05,0.3,0.45,0.55,0.7,0.85,0.95,1.0,0.55,0.8,0.1,0.05
5,0.5454,0.0642,0.7968,2.0369,0.0806,525750.0,812490.0,190,164,0.05,0.3,0.4,0.6,0.7,0.85,0.95,1.0,0.65,0.75,0.1,0.05
5,0.5454,0.0642,0.7968,2.0369,0.0806,525750.0,812490.0,190,164,0.05,0.3,0.4,0.7,0.7,0.85,0.95,1.0,0.6,0.8,0.12,0.05
8,0.5603,0.0655,0.8109,2.115,0.0808,518250.0,808650.0,178,152,0.05,0.25,0.35,0.6,0.75,0.85,0.95,1.0,0.5,0.75,0.08,0.04
8,0.5592,0.0654,0.8058,2.1247,0.0811,532500.0,830273.0,178,152,0.05,0.3,0.45,0.7,0.75,0.85,0.95,1.0,0.5,0.7,0.12,0.05
8,0.5592,0.0654,0.8058,2.1247,0.0811,532500.0,830273.0,178,152,0.05,0.3,0.4,0.65,0.75,0.85,0.95,1.0,0.5,0.75,0.12,0.05
8,0.5568,0.0651,0.8109,2.0886,0.0803,486000.0,756591.0,178,152,0.05,0.2,0.3,0.7,0.7,0.85,0.95,1.0,0.5,0.8,0.08,0.04
8,0.5564,0.0649,0.7972,2.08,0.0814,525750.0,818277.0,190,164,0.05,0.25,0.3,0.7,0.65,0.85,0.95,1.0,0.55,0.7,0.08,0.05
