window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.2677,-0.0196,0.6384,1.093,0.0,1410750.0,1033082.0,533,477,0.05,0.15,0.4,0.6,0.7,0.85,0.95,-0.5,0.6,0.7,0.06,0.05
3,-0.2681,-0.0196,0.6373,1.0945,0.0,1425000.0,1043008.0,533,477,0.05,0.15,0.45,0.6,0.65,0.85,0.95,-0.5,0.6,0.7,0.06,0.05
3,-0.2683,-0.0196,0.6384,1.0935,0.0,1384500.0,1012996.0,528,472,0.05,0.15,0.3,0.55,0.7,0.85,0.95,0.0,0.55,0.8,0.08,0.05
3,-0.2684,-0.0196,0.6198,1.0899,0.0,1413750.0,1034335.0,538,482,0.05,0.15,0.4,0.65,0.7,0.85,0.95,1.0,0.55,0.75,0.12,0.05
3,-0.2685,-0.0196,0.6373,1.095,0.0,1425750.0,1042980.0,531,475,0.05,0.15,0.45,0.55,0.75,0.85,0.95,0.0,0.65,0.8,0.12,0.05
5,0.2263,0.0133,0.7289,1.2314,0.0183,1242000.0,1523038.0,496,461,0.1,0.15,0.35,0.5,0.7,0.85,0.95,0.5,0.65,0.7,0.12,0.05
5,0.2249,0.0135,0.7289,1.23,0.0185,1230000.0,1506678.0,480,445,0.1,0.15,0.35,0.5,0.65,0.85,0.95,-0.5,0.55,0.8,0.08,0.05
5,0.2214,0.0131,0.7279,1.1459,0.018,1164000.0,1421673.0,496,461,0.05,0.15,0.4,0.5,0.7,0.85,0.95,0.5,0.65,0.7,0.08,0.05
5,0.2195,0.0132,0.7287,1.1457,0.0181,1140000.0,1390182.0,480,445,0.05,0.15,0.35,0.5,0.75,0.85,0.95,1.0,0.55,0.8,0.06,0.05
5,0.2188,0.0126,0.7408,1.2179,0.017,1239000.0,1510123.0,521,486,0.1,0.15,0.3,0.55,0.75,0.85,0.95,-0.5,0.65,0.7,0.12,0.05
8,0.7311,0.037,0.7235,1.2265,0.0511,1110000.0,1921495.0,452,426,0.05,0.15,0.4,0.5,0.75,0.85,0.95,0.0,0.5,0.75,0.06,0.03
8,0.7272,0.0368,0.7369,1.21,0.05,1125000.0,1943126.0,472,446,0.05,0.15,0.4,0.55,0.65,0.85,0.95,0.0,0.5,0.75,0.1,0.03
8,0.7269,0.0368,0.737,1.2255,0.0499,1274250.0,2200439.0,472,446,0.05,0.25,0.35,0.55,0.75,0.85,0.95,0.0,0.5,0.7,0.1,0.03
8,0.7256,0.0368,0.7283,1.2213,0.0505,1080750.0,1864944.0,452,426,0.05,0.15,0.3,0.5,0.65,0.85,0.95,0.0,0.5,0.7,0.12,0.05
8,0.7248,0.0367,0.7369,1.2059,0.0498,1202250.0,2073609.0,488,462,0.05,0.2,0.3,0.55,0.65,0.85,0.95,1.0,0.55,0.75,0.12,0.03
10,0.7199,0.0365,0.7238,1.2332,0.0505,1295250.0,2227712.0,458,430,0.05,0.25,0.35,0.5,0.75,0.85,0.95,1.0,0.5,0.75,0.08,0.03
10,0.7169,0.0364,0.7275,1.216,0.05,1140000.0,1957229.0,458,430,0.05,0.15,0.4,0.5,0.75,0.85,0.95,0.0,0.5,0.8,0.12,0.04
10,0.7166,0.0364,0.7238,1.3099,0.0503,1191750.0,2045753.0,458,430,0.1,0.15,0.35,0.5,0.7,0.85,0.95,0.5,0.5,0.8,0.12,0.03
10,0.7166,0.0364,0.7369,1.1973,0.0494,1165500.0,2000747.0,477,449,0.05,0.15,0.45,0.55,0.75,0.85,0.95,0.5,0.5,0.75,0.06,0.03
10,0.7163,0.0357,0.7369,1.1978,0.0484,1146750.0,1968209.0,495,467,0.05,0.15,0.3,0.55,0.65,0.85,0.95,0.5,0.55,0.7,0.06,0.03
