window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,0.0955,0.0113,0.6821,2.334,0.0166,561000.0,614589.0,160,133,0.2,0.25,0.45,0.65,0.75,0.85,0.95,1.0,0.55,0.75,0.06,0.05
3,0.0955,0.0113,0.6821,2.334,0.0166,561000.0,614589.0,160,133,0.2,0.25,0.45,0.7,0.65,0.85,0.95,1.0,0.5,0.75,0.06,0.05
3,0.0955,0.0113,0.6821,2.334,0.0166,561000.0,614589.0,160,133,0.2,0.25,0.45,0.65,0.65,0.85,0.95,1.0,0.5,0.8,0.12,0.05
3,0.0954,0.0113,0.6764,2.339,0.0167,564000.0,617815.0,160,133,0.2,0.3,0.45,0.7,0.65,0.85,0.95,1.0,0.5,0.7,0.12,0.05
3,0.0954,0.0113,0.6764,2.339,0.0167,564000.0,617815.0,160,133,0.2,0.3,0.45,0.65,0.7,0.85,0.95,1.0,0.5,0.7,0.12,0.05
5,0.0651,0.0078,0.8844,2.2106,0.0088,517500.0,551205.0,156,137,0.2,0.3,0.45,0.65,0.7,0.85,0.9,1.0,0.5,0.8,0.08,0.05
5,0.0495,0.006,0.8843,2.1799,0.0067,480000.0,503767.0,156,137,0.15,0.25,0.45,0.5,0.65,0.85,0.9,1.0,0.55,0.8,0.06,0.05
5,0.0483,0.0058,0.8843,2.1779,0.0066,480000.0,503189.0,156,137,0.1,0.3,0.4,0.65,0.7,0.85,0.9,1.0,0.6,0.7,0.06,0.05
5,0.0474,0.0057,0.888,2.1753,0.0064,483000.0,505894.0,156,137,0.2,0.25,0.3,0.6,0.65,0.85,0.9,1.0,0.6,0.7,0.06,0.05
5,0.0474,0.0057,0.888,2.1753,0.0064,483000.0,505894.0,156,137,0.2,0.25,0.3,0.65,0.7,0.85,0.9,1.0,0.6,0.7,0.1,0.05
8,0.1762,0.0204,0.6209,2.3076,0.0328,515250.0,606045.0,166,145,0.2,0.3,0.45,0.7,0.7,0.85,0.95,1.0,0.6,0.7,0.12,0.05
8,0.1761,0.0204,0.6209,2.3148,0.0328,514500.0,605097.0,165,144,0.2,0.3,0.45,0.6,0.75,0.85,0.95,1.0,0.6,0.7,0.1,0.05
8,0.1757,0.0203,0.6209,2.3371,0.0327,512250.0,602251.0,162,141,0.2,0.3,0.45,0.5,0.7,0.85,0.95,1.0,0.5,0.8,0.1,0.05
8,0.175,0.0202,0.6209,2.3025,0.0326,510000.0,599244.0,166,145,0.2,0.3,0.4,0.65,0.7,0.85,0.95,1.0,0.5,0.8,0.08,0.05
8,0.1749,0.0202,0.6209,2.3097,0.0326,509250.0,598296.0,165,144,0.2,0.3,0.4,0.6,0.65,0.85,0.95,1.0,0.6,0.75,0.06,0.05
