window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7754,-0.0713,0.7843,1.0009,0,1087500.0,244253.0,574,510,0.05,0.15,0.3,0.5,0.7,0.85,0.95,-0.5,0.6,0.8,0.1,0.04
3,-0.7766,-0.0716,0.7843,1.0121,0,1183500.0,264365.0,574,510,0.1,0.15,0.3,0.5,0.65,0.85,0.95,0.0,0.6,0.75,0.1,0.04
3,-0.7771,-0.0717,0.7843,1.0063,0,1190250.0,265343.0,581,517,0.1,0.15,0.3,0.5,0.75,0.85,0.95,-0.5,0.65,0.7,0.1,0.04
3,-0.7788,-0.072,0.7655,0.9222,0,1153500.0,255187.0,662,598,0.05,0.15,0.3,0.6,0.65,0.85,0.95,1.0,0.6,0.7,0.1,0.04
3,-0.7789,-0.072,0.7875,1.0039,0,1134750.0,250939.0,574,510,0.05,0.15,0.4,0.5,0.65,0.85,0.95,0.0,0.6,0.8,0.1,0.04
5,-0.4046,-0.0262,0.862,1.0744,0,972750.0,579169.0,579,514,0.1,0.15,0.3,0.5,0.65,0.85,0.95,0.0,0.65,0.8,0.1,0.05
5,-0.4069,-0.026,0.8587,1.0634,0,1011000.0,599630.0,630,565,0.1,0.15,0.3,0.6,0.7,0.85,0.95,0.5,0.65,0.7,0.06,0.05
5,-0.4074,-0.0264,0.8639,1.0925,0,1031250.0,611142.0,567,502,0.1,0.15,0.4,0.5,0.65,0.85,0.95,0.5,0.55,0.75,0.12,0.05
5,-0.4096,-0.0265,0.8633,1.0937,0,1019250.0,601799.0,599,534,0.1,0.15,0.35,0.55,0.7,0.85,0.95,-0.5,0.6,0.7,0.06,0.05
5,-0.4105,-0.0259,0.8551,1.0273,0,1069500.0,630419.0,708,643,0.1,0.15,0.3,0.7,0.7,0.85,0.95,1.0,0.65,0.7,0.08,0.05
8,-0.2619,-0.0154,0.8171,1.1774,0,928500.0,685345.0,530,478,0.15,0.2,0.3,0.5,0.65,0.85,0.95,-0.5,0.55,0.7,0.12,0.05
8,-0.2699,-0.016,0.816,1.1788,0,978750.0,714577.0,537,485,0.15,0.25,0.3,0.5,0.75,0.85,0.95,-0.5,0.65,0.7,0.12,0.05
8,-0.2764,-0.0164,0.8169,1.165,0,876000.0,633885.0,530,478,0.1,0.2,0.3,0.5,0.65,0.85,0.95,0.0,0.55,0.8,0.1,0.05
8,-0.2774,-0.0165,0.8169,1.1832,0,1000500.0,722932.0,530,478,0.15,0.2,0.4,0.5,0.7,0.85,0.95,0.5,0.55,0.75,0.1,0.05
8,-0.2786,-0.0166,0.8169,1.1862,0,998250.0,720151.0,527,475,0.15,0.2,0.4,0.5,0.65,0.85,0.95,-0.5,0.5,0.7,0.1,0.05
10,-0.3692,-0.0233,0.866,1.1086,0,845250.0,533206.0,552,506,0.15,0.2,0.3,0.5,0.75,0.85,0.95,0.5,0.65,0.8,0.12,0.05
10,-0.3844,-0.0245,0.8661,1.0724,0,883500.0,543880.0,603,557,0.15,0.2,0.3,0.55,0.65,0.85,0.95,0.0,0.55,0.7,0.1,0.05
10,-0.3845,-0.0238,0.8756,1.0737,0,842250.0,518421.0,564,502,0.15,0.2,0.3,0.5,0.65,0.8,0.95,0.0,0.5,0.7,0.06,0.05
10,-0.3866,-0.0239,0.8748,1.0781,0,878250.0,538711.0,564,502,0.15,0.2,0.35,0.5,0.7,0.8,0.95,0.5,0.55,0.75,0.1,0.05
10,-0.3914,-0.0251,0.865,1.095,0,798750.0,486084.0,550,504,0.1,0.15,0.4,0.5,0.75,0.85,0.95,0.0,0.6,0.7,0.08,0.05
