window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.4638,0.0667,-0.0716,0.4386,1.8194,0.0,595500.0,319334.0,233,207,0.05,0.25,0.3,0.7,0.7,0.85,0.95,0.5,0.6,0.8,0.08,0.05
3,-0.4638,0.0676,-0.0716,0.4413,2.0994,0.0,535500.0,287144.0,225,199,0.05,0.15,0.3,0.7,0.65,0.85,0.95,0.5,0.5,0.8,0.06,0.05
3,-0.4639,0.0677,-0.0717,0.4461,2.1654,0.0,520500.0,279059.0,197,171,0.05,0.15,0.45,0.6,0.65,0.85,0.95,1.0,0.6,0.8,0.08,0.05
3,-0.4639,0.0677,-0.0717,0.4461,2.1654,0.0,520500.0,279059.0,197,171,0.05,0.15,0.45,0.6,0.75,0.85,0.95,1.0,0.55,0.8,0.12,0.05
3,-0.4643,0.0674,-0.0717,0.4461,2.16,0.0,514500.0,275623.0,197,171,0.05,0.15,0.3,0.7,0.7,0.85,0.95,1.0,0.5,0.75,0.1,0.05
5,0.1154,0.0684,0.013,0.385,2.5011,0.0337,670500.0,747870.0,212,194,0.15,0.25,0.45,0.6,0.65,0.85,0.95,1.0,0.65,0.8,0.08,0.05
5,0.1154,0.0684,0.013,0.385,2.5011,0.0337,670500.0,747870.0,212,194,0.15,0.25,0.45,0.55,0.75,0.85,0.95,1.0,0.65,0.8,0.06,0.05
5,0.1153,0.0704,0.013,0.4092,2.6457,0.0317,539250.0,601414.0,212,194,0.1,0.15,0.4,0.65,0.65,0.85,0.95,1.0,0.5,0.75,0.06,0.05
5,0.1153,0.0704,0.013,0.4092,2.6457,0.0317,539250.0,601414.0,212,194,0.1,0.15,0.4,0.55,0.75,0.85,0.95,1.0,0.6,0.7,0.12,0.05
5,0.1152,0.0704,0.0129,0.4092,2.6449,0.0316,538500.0,600523.0,212,194,0.1,0.15,0.35,0.6,0.65,0.85,0.95,1.0,0.5,0.75,0.12,0.05
8,0.1485,0.0709,0.0168,0.4092,2.6116,0.0411,573000.0,658106.0,229,218,0.1,0.15,0.45,0.65,0.7,0.85,0.95,1.0,0.55,0.7,0.08,0.05
8,0.1479,0.07,0.0168,0.4105,2.6117,0.0408,608250.0,698189.0,228,217,0.1,0.2,0.45,0.7,0.75,0.85,0.95,1.0,0.5,0.8,0.08,0.05
8,0.1478,0.07,0.0167,0.4105,2.605,0.0408,609000.0,699029.0,229,218,0.1,0.2,0.45,0.65,0.75,0.85,0.95,1.0,0.6,0.75,0.06,0.05
8,0.1478,0.0695,0.0167,0.4073,2.4368,0.0411,654000.0,750650.0,227,216,0.15,0.2,0.45,0.55,0.7,0.85,0.95,1.0,0.6,0.8,0.12,0.05
8,0.1477,0.0706,0.0167,0.4092,2.6058,0.0409,566250.0,649871.0,229,218,0.1,0.15,0.4,0.6,0.7,0.85,0.95,1.0,0.65,0.75,0.06,0.05
