window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,0.0712,0.0699,0.0085,0.352,2.4856,0.0242,488250.0,523036.0,148,125,0.15,0.3,0.4,0.7,0.75,0.85,0.95,1.0,0.55,0.8,0.06,0.05
3,0.0711,0.0698,0.0085,0.352,2.4953,0.0242,487500.0,522159.0,147,124,0.15,0.3,0.45,0.65,0.75,0.85,0.95,1.0,0.6,0.8,0.06,0.04
3,0.0711,0.0698,0.0085,0.352,2.4953,0.0242,487500.0,522159.0,147,124,0.15,0.3,0.45,0.6,0.65,0.85,0.95,1.0,0.5,0.8,0.06,0.05
3,0.0711,0.0698,0.0085,0.352,2.4953,0.0242,487500.0,522159.0,147,124,0.15,0.3,0.4,0.65,0.65,0.85,0.95,1.0,0.55,0.8,0.06,0.04
3,0.0707,0.0698,0.0085,0.352,2.4829,0.024,486000.0,520341.0,148,125,0.15,0.3,0.35,0.7,0.75,0.85,0.95,1.0,0.55,0.8,0.08,0.05
5,-0.2045,0.0763,-0.0278,0.3468,2.2765,0.0,515250.0,409872.0,154,136,0.2,0.3,0.45,0.55,0.75,0.85,0.95,1.0,0.55,0.75,0.08,0.05
5,-0.2048,0.0772,-0.0279,0.3594,2.252,0.0,489750.0,389432.0,154,136,0.2,0.25,0.45,0.55,0.65,0.85,0.95,1.0,0.5,0.8,0.1,0.05
5,-0.2049,0.0762,-0.0279,0.3468,2.2901,0.0,512250.0,407315.0,152,134,0.2,0.3,0.4,0.5,0.65,0.85,0.95,1.0,0.6,0.7,0.1,0.05
5,-0.2052,0.0771,-0.0279,0.3594,2.2652,0.0,486750.0,386875.0,152,134,0.2,0.25,0.4,0.5,0.75,0.85,0.95,1.0,0.65,0.75,0.06,0.05
5,-0.2057,0.0766,-0.028,0.3463,2.2134,0.0,485250.0,385433.0,158,140,0.15,0.3,0.4,0.65,0.65,0.85,0.95,1.0,0.55,0.75,0.06,0.05
8,0.128,0.0715,0.0151,0.348,2.2547,0.0434,575250.0,648868.0,190,175,0.2,0.25,0.4,0.65,0.75,0.85,0.95,1.0,0.5,0.7,0.08,0.05
8,0.128,0.0713,0.0151,0.3468,2.2621,0.0436,585750.0,660732.0,190,175,0.2,0.3,0.4,0.65,0.65,0.85,0.95,1.0,0.5,0.7,0.12,0.05
8,0.1279,0.0713,0.0151,0.3468,2.2879,0.0435,582750.0,657291.0,186,171,0.2,0.3,0.4,0.6,0.75,0.85,0.95,1.0,0.5,0.7,0.08,0.05
8,0.1278,0.071,0.0151,0.3468,2.415,0.0435,572250.0,645367.0,168,153,0.2,0.3,0.45,0.5,0.7,0.85,0.95,1.0,0.6,0.8,0.06,0.05
8,0.1277,0.0712,0.0151,0.348,2.4068,0.0433,561750.0,633503.0,168,153,0.2,0.25,0.45,0.5,0.75,0.85,0.95,1.0,0.5,0.75,0.1,0.05
