window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.319,0.0887,-0.0471,0.5456,1.9132,0.0,579750.0,394812.0,248,225,0.15,0.2,0.3,0.55,0.65,0.85,0.95,1.0,0.5,0.8,0.08,0.05
3,-0.3216,0.0894,-0.0476,0.5463,1.9114,0.0,508500.0,344991.0,243,220,0.1,0.15,0.3,0.5,0.75,0.85,0.95,1.0,0.5,0.7,0.1,0.05
3,-0.3217,0.0876,-0.0476,0.5437,1.5393,0.0,607500.0,412059.0,248,225,0.15,0.2,0.4,0.55,0.65,0.85,0.95,0.5,0.5,0.8,0.06,0.05
3,-0.3221,0.0876,-0.0477,0.5439,1.5276,0.0,610500.0,413876.0,252,229,0.15,0.2,0.4,0.7,0.65,0.85,0.95,-0.5,0.5,0.7,0.06,0.05
3,-0.3222,0.0875,-0.0477,0.5436,1.5549,0.0,603750.0,409192.0,243,220,0.15,0.2,0.4,0.5,0.7,0.85,0.95,0.5,0.5,0.7,0.1,0.05
5,0.0334,0.1039,0.0041,0.6535,2.1986,0.0063,444000.0,458849.0,269,252,0.1,0.2,0.3,0.6,0.65,0.85,0.95,-0.5,0.5,0.8,0.06,0.05
5,0.029,0.1037,0.0036,0.6525,2.1714,0.0055,406500.0,418303.0,269,252,0.1,0.15,0.3,0.6,0.7,0.85,0.95,0.0,0.5,0.75,0.06,0.05
5,0.029,0.1037,0.0036,0.6525,2.1714,0.0055,406500.0,418303.0,269,252,0.1,0.15,0.3,0.6,0.75,0.85,0.95,0.5,0.5,0.7,0.12,0.05
5,0.0271,0.1028,0.0034,0.6513,2.1345,0.0051,482250.0,495332.0,294,277,0.15,0.2,0.3,0.7,0.7,0.85,0.95,0.0,0.55,0.75,0.06,0.05
5,0.0205,0.1024,0.0026,0.654,2.2973,0.004,440250.0,449262.0,240,223,0.1,0.2,0.35,0.5,0.7,0.85,0.95,0.5,0.5,0.7,0.08,0.05
8,0.2415,0.0936,0.0281,0.3729,2.6566,0.0754,376500.0,467442.0,211,193,0.15,0.2,0.3,0.5,0.7,0.85,0.95,0.0,0.65,0.8,0.06,0.05
8,0.2415,0.0936,0.0281,0.3729,2.6566,0.0754,376500.0,467442.0,211,193,0.15,0.2,0.3,0.5,0.7,0.85,0.95,-0.5,0.55,0.75,0.12,0.05
8,0.2364,0.0922,0.0276,0.3652,2.6549,0.0755,394500.0,487776.0,211,193,0.15,0.2,0.35,0.5,0.7,0.85,0.95,0.5,0.65,0.75,0.08,0.05
8,0.2315,0.0928,0.027,0.3729,2.5666,0.0725,303000.0,373145.0,211,193,0.05,0.15,0.3,0.5,0.75,0.85,0.95,0.0,0.65,0.8,0.08,0.05
8,0.2303,0.0921,0.0265,0.3764,2.4715,0.0703,396000.0,487199.0,237,219,0.15,0.2,0.3,0.55,0.65,0.85,0.95,0.0,0.55,0.7,0.08,0.05
10,0.1245,0.108,0.0148,0.5777,2.2783,0.0256,363000.0,408179.0,250,228,0.2,0.25,0.3,0.5,0.7,0.85,0.95,0.0,0.5,0.8,0.06,0.05
10,0.1215,0.1064,0.0145,0.5587,2.266,0.0259,367500.0,412135.0,255,234,0.2,0.25,0.3,0.5,0.75,0.85,0.9,-0.5,0.55,0.7,0.06,0.05
10,0.1189,0.1073,0.0142,0.5705,2.1773,0.0248,383250.0,428821.0,277,255,0.2,0.25,0.3,0.55,0.7,0.85,0.95,0.0,0.5,0.75,0.06,0.05
10,0.1177,0.1049,0.014,0.5718,2.2003,0.0245,303750.0,339487.0,257,235,0.15,0.2,0.3,0.5,0.75,0.85,0.95,0.5,0.6,0.75,0.12,0.05
10,0.1171,0.1069,0.014,0.5788,2.2468,0.0241,368250.0,411390.0,257,235,0.2,0.25,0.3,0.5,0.65,0.85,0.95,0.5,0.6,0.75,0.12,0.05
