window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7696,0.0349,-0.1712,0.7997,1.5657,0.0,888000.0,204611.0,281,259,0.1,0.25,0.3,0.5,0.7,0.85,0.95,0.5,0.5,0.7,0.08,0.04
3,-0.7696,0.0348,-0.1712,0.7997,1.5549,0.0,822000.0,189367.0,281,259,0.05,0.25,0.3,0.5,0.7,0.85,0.95,1.0,0.5,0.75,0.12,0.04
3,-0.7697,0.0346,-0.169,0.7997,1.7081,0.0,833250.0,191871.0,285,263,0.05,0.25,0.35,0.5,0.75,0.85,0.95,0.0,0.6,0.8,0.1,0.04
3,-0.7697,0.035,-0.169,0.7997,1.6937,0.0,825750.0,190147.0,292,270,0.1,0.15,0.3,0.55,0.65,0.85,0.95,-0.5,0.55,0.7,0.06,0.04
3,-0.7697,0.0346,-0.169,0.7997,1.718,0.0,923250.0,212599.0,284,262,0.1,0.3,0.45,0.5,0.75,0.85,0.95,-0.5,0.55,0.75,0.08,0.04
5,-0.5323,0.0319,-0.093,0.6064,1.8391,0.0,1035000.0,484042.0,302,290,0.2,0.3,0.35,0.55,0.65,0.85,0.9,1.0,0.5,0.75,0.06,0.04
5,-0.5324,0.032,-0.0927,0.6064,2.0527,0.0,1004250.0,469564.0,303,291,0.2,0.25,0.35,0.6,0.65,0.85,0.9,0.5,0.5,0.7,0.1,0.04
5,-0.5324,0.032,-0.0927,0.6064,2.0614,0.0,995250.0,465416.0,303,291,0.2,0.25,0.3,0.6,0.65,0.85,0.9,1.0,0.5,0.7,0.1,0.04
5,-0.5326,0.0318,-0.093,0.6064,1.816,0.0,1040250.0,486215.0,309,297,0.2,0.3,0.35,0.55,0.75,0.85,0.9,-0.5,0.6,0.8,0.12,0.04
5,-0.5326,0.0318,-0.093,0.6064,1.816,0.0,1040250.0,486215.0,309,297,0.2,0.3,0.35,0.55,0.7,0.85,0.9,0.0,0.55,0.7,0.06,0.04
8,-0.1634,0.0357,-0.0226,0.2962,1.8477,0.0,1019250.0,852684.0,333,323,0.2,0.25,0.3,0.5,0.7,0.85,0.95,0.5,0.5,0.8,0.12,0.03
8,-0.1637,0.0354,-0.0221,0.2962,2.1351,0.0,1026000.0,858076.0,342,332,0.2,0.25,0.3,0.5,0.7,0.85,0.95,1.0,0.65,0.8,0.12,0.03
8,-0.1639,0.0352,-0.0226,0.295,1.789,0.0,1107750.0,926166.0,333,323,0.2,0.3,0.4,0.5,0.65,0.85,0.95,-0.5,0.5,0.7,0.1,0.03
8,-0.1641,0.035,-0.0222,0.2951,2.1541,0.0,1114500.0,931557.0,342,332,0.2,0.3,0.4,0.5,0.65,0.85,0.95,1.0,0.6,0.75,0.08,0.03
8,-0.1642,0.0353,-0.0222,0.2963,2.1391,0.0,1041750.0,870664.0,342,332,0.2,0.25,0.35,0.5,0.75,0.85,0.95,0.0,0.6,0.7,0.08,0.04
10,0.147,0.0352,0.0178,0.1554,1.7759,0.1148,1209750.0,1387638.0,357,351,0.2,0.25,0.3,0.5,0.65,0.85,0.95,1.0,0.5,0.8,0.1,0.04
10,0.1467,0.035,0.0174,0.1554,2.1784,0.1119,1217250.0,1395774.0,367,361,0.2,0.25,0.3,0.5,0.65,0.85,0.95,1.0,0.6,0.75,0.06,0.03
10,0.1467,0.035,0.0174,0.1554,2.1784,0.1119,1217250.0,1395774.0,367,361,0.2,0.25,0.3,0.5,0.7,0.85,0.95,1.0,0.65,0.8,0.06,0.05
10,0.1462,0.0351,0.0177,0.1544,1.9553,0.1148,1224000.0,1402890.0,357,351,0.2,0.25,0.35,0.5,0.75,0.85,0.95,1.0,0.5,0.75,0.12,0.04
10,0.1458,0.0349,0.0173,0.1545,2.1934,0.112,1231500.0,1411026.0,367,361,0.2,0.25,0.35,0.5,0.75,0.85,0.95,0.0,0.6,0.8,0.12,0.03
