window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.3459,0.0468,-0.0491,0.4189,2.3401,0.0,555750.0,363537.0,187,158,0.1,0.3,0.4,0.7,0.75,0.85,0.95,1.0,0.65,0.8,0.12,0.05
3,-0.3461,0.047,-0.0491,0.4234,2.3144,0.0,515250.0,336928.0,186,157,0.05,0.3,0.45,0.7,0.65,0.85,0.95,1.0,0.65,0.75,0.1,0.05
3,-0.3461,0.047,-0.0491,0.4234,2.3145,0.0,515250.0,336936.0,186,157,0.05,0.3,0.45,0.65,0.75,0.85,0.95,1.0,0.65,0.7,0.1,0.05
3,-0.3465,0.0471,-0.0492,0.4234,2.3306,0.0,510750.0,333794.0,183,154,0.05,0.3,0.45,0.6,0.7,0.85,0.95,1.0,0.55,0.8,0.06,0.05
3,-0.3465,0.0467,-0.0492,0.4188,2.3398,0.0,547500.0,357776.0,186,157,0.1,0.25,0.35,0.65,0.7,0.85,0.95,1.0,0.65,0.75,0.1,0.05
5,0.0108,0.0463,0.0013,0.4297,2.4891,0.0029,567750.0,573868.0,188,166,0.15,0.3,0.45,0.7,0.75,0.85,0.95,1.0,0.6,0.7,0.06,0.05
5,0.0102,0.0452,0.0012,0.4256,2.4495,0.0028,580500.0,586394.0,195,173,0.15,0.3,0.35,0.55,0.75,0.85,0.95,1.0,0.65,0.7,0.1,0.05
5,0.0094,0.0483,0.0011,0.4332,2.7488,0.0026,407250.0,411077.0,183,161,0.05,0.15,0.45,0.6,0.75,0.85,0.95,1.0,0.55,0.75,0.08,0.05
5,0.0092,0.0466,0.0011,0.4244,2.728,0.0025,492750.0,497260.0,195,173,0.1,0.2,0.45,0.7,0.75,0.85,0.95,1.0,0.65,0.7,0.06,0.05
5,0.009,0.0484,0.0011,0.4337,2.7732,0.0024,437250.0,441171.0,183,161,0.1,0.15,0.4,0.6,0.7,0.85,0.95,1.0,0.55,0.8,0.12,0.05
8,0.0043,0.045,0.0005,0.4241,2.5055,0.0013,521250.0,523507.0,200,181,0.05,0.3,0.45,0.55,0.65,0.85,0.95,1.0,0.65,0.7,0.08,0.05
8,0.0034,0.0464,0.0004,0.429,2.4919,0.001,537000.0,538839.0,203,184,0.1,0.3,0.4,0.6,0.75,0.85,0.95,1.0,0.6,0.8,0.12,0.05
8,0.0023,0.0463,0.0003,0.429,2.5677,0.0007,528000.0,529192.0,191,172,0.1,0.3,0.4,0.55,0.75,0.85,0.95,1.0,0.6,0.7,0.12,0.05
8,0.0017,0.0478,0.0002,0.4332,2.6034,0.0005,423750.0,424472.0,206,187,0.05,0.15,0.45,0.7,0.7,0.85,0.95,1.0,0.6,0.75,0.1,0.05
8,0.0012,0.0468,0.0001,0.4291,2.5679,0.0003,429750.0,430260.0,212,193,0.05,0.15,0.4,0.6,0.7,0.85,0.95,1.0,0.65,0.7,0.06,0.05
