window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.1183,0.0392,-0.0155,0.3974,2.5041,0,315750.0,278410.0,115,91,0.05,0.3,0.45,0.65,0.65,0.85,0.95,1.0,0.65,0.8,0.1,0.04
3,-0.1186,0.0392,-0.0156,0.3974,2.5151,0,315000.0,277630.0,114,90,0.05,0.3,0.45,0.6,0.7,0.85,0.95,1.0,0.55,0.75,0.1,0.04
3,-0.1186,0.0392,-0.0156,0.3974,2.5151,0,315000.0,277630.0,114,90,0.05,0.3,0.4,0.5,0.65,0.85,0.95,1.0,0.55,0.75,0.12,0.04
3,-0.1186,0.0392,-0.0156,0.3974,2.5151,0,315000.0,277630.0,114,90,0.05,0.3,0.35,0.6,0.7,0.85,0.95,1.0,0.55,0.7,0.1,0.05
3,-0.1196,0.0394,-0.0157,0.3974,2.5216,0,312000.0,274681.0,113,89,0.05,0.3,0.4,0.6,0.75,0.85,0.95,1.0,0.5,0.8,0.08,0.04
5,-0.103,0.0397,-0.0133,0.3978,2.6368,0,325500.0,291983.0,108,90,0.1,0.3,0.4,0.65,0.7,0.85,0.95,1.0,0.6,0.8,0.08,0.05
5,-0.1039,0.04,-0.0135,0.3978,2.66,0,322500.0,288995.0,106,88,0.1,0.3,0.4,0.65,0.75,0.85,0.95,1.0,0.5,0.7,0.06,0.05
5,-0.1043,0.0398,-0.0135,0.3978,2.6463,0,323250.0,289546.0,107,89,0.1,0.3,0.35,0.6,0.65,0.85,0.95,1.0,0.55,0.7,0.12,0.05
5,-0.1049,0.039,-0.0136,0.397,2.7087,0,351750.0,314856.0,106,88,0.2,0.3,0.45,0.5,0.65,0.85,0.95,1.0,0.55,0.75,0.1,0.04
5,-0.1053,0.0389,-0.0137,0.397,2.6799,0,351750.0,314703.0,108,90,0.2,0.3,0.35,0.65,0.65,0.85,0.95,1.0,0.65,0.75,0.06,0.04
8,-0.055,0.0405,-0.0075,0.3948,2.448,0,362250.0,342310.0,134,118,0.05,0.3,0.45,0.6,0.75,0.85,0.95,1.0,0.65,0.75,0.08,0.04
8,-0.0577,0.0416,-0.0079,0.3948,2.452,0,349500.0,329332.0,132,116,0.05,0.3,0.45,0.65,0.7,0.85,0.95,1.0,0.55,0.7,0.08,0.04
8,-0.0583,0.0404,-0.008,0.3978,2.4703,0,399750.0,376450.0,136,120,0.1,0.3,0.45,0.7,0.75,0.85,0.95,1.0,0.6,0.75,0.1,0.05
8,-0.0592,0.0398,-0.0081,0.3978,2.4624,0,402000.0,378200.0,137,121,0.1,0.3,0.4,0.65,0.65,0.85,0.95,1.0,0.65,0.7,0.1,0.05
8,-0.0595,0.0407,-0.0081,0.3948,2.4786,0,351000.0,330124.0,129,113,0.05,0.3,0.4,0.5,0.65,0.85,0.95,1.0,0.6,0.8,0.08,0.04
