window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.3764,0.0478,-0.0585,0.4374,2.1156,0,486000.0,303083.0,219,192,0.1,0.25,0.45,0.7,0.75,0.85,0.95,0.5,0.5,0.7,0.12,0.05
3,-0.3771,0.0493,-0.0586,0.4422,2.2636,0,356250.0,221909.0,204,177,0.05,0.15,0.35,0.6,0.7,0.85,0.95,1.0,0.5,0.7,0.08,0.05
3,-0.3777,0.048,-0.0584,0.4359,2.1815,0,422250.0,262761.0,241,214,0.1,0.15,0.35,0.7,0.7,0.85,0.95,1.0,0.55,0.8,0.06,0.05
3,-0.3785,0.0475,-0.0589,0.4371,2.5807,0,468000.0,290865.0,204,177,0.1,0.25,0.4,0.6,0.7,0.85,0.95,0.5,0.5,0.8,0.12,0.05
3,-0.3786,0.0473,-0.0589,0.4397,2.0088,0,481500.0,299199.0,219,192,0.05,0.3,0.35,0.7,0.75,0.85,0.95,-0.5,0.5,0.75,0.1,0.05
5,-0.1059,0.0634,-0.0145,0.5861,2.3534,0,321000.0,287006.0,224,206,0.1,0.2,0.3,0.7,0.65,0.85,0.95,1.0,0.5,0.8,0.1,0.05
5,-0.109,0.0624,-0.0149,0.5868,2.3764,0,347250.0,309415.0,224,206,0.15,0.2,0.35,0.7,0.7,0.85,0.95,0.5,0.5,0.75,0.1,0.05
5,-0.1092,0.062,-0.0149,0.5829,2.2689,0,338250.0,301302.0,245,227,0.1,0.2,0.3,0.7,0.7,0.85,0.95,-0.5,0.55,0.8,0.08,0.05
5,-0.1114,0.0623,-0.0153,0.5854,2.326,0,293250.0,260591.0,224,206,0.05,0.15,0.35,0.7,0.75,0.85,0.95,0.5,0.5,0.7,0.12,0.05
5,-0.1118,0.0624,-0.0153,0.5798,2.3819,0,358500.0,318404.0,224,206,0.15,0.25,0.3,0.7,0.7,0.85,0.95,0.5,0.5,0.75,0.12,0.05
8,-0.0224,0.0674,-0.003,0.5854,2.2915,0,260250.0,254411.0,223,204,0.15,0.2,0.3,0.7,0.75,0.85,0.95,0.0,0.5,0.8,0.08,0.05
8,-0.0297,0.0608,-0.004,0.5664,2.4613,0,228750.0,221952.0,196,177,0.1,0.15,0.3,0.5,0.75,0.85,0.95,0.5,0.65,0.8,0.1,0.05
8,-0.0314,0.0653,-0.0041,0.5867,2.2167,0,278250.0,269512.0,242,223,0.15,0.2,0.3,0.7,0.65,0.85,0.95,0.0,0.55,0.8,0.12,0.05
8,-0.0314,0.0653,-0.0041,0.5867,2.2167,0,278250.0,269512.0,242,223,0.15,0.2,0.3,0.7,0.7,0.85,0.95,0.5,0.55,0.8,0.1,0.05
8,-0.0336,0.062,-0.0045,0.5775,2.5535,0,232500.0,224697.0,184,165,0.1,0.15,0.35,0.5,0.65,0.85,0.95,0.5,0.6,0.75,0.08,0.05
10,-0.1157,0.0678,-0.0156,0.6006,2.2138,0,198000.0,175090.0,209,189,0.05,0.15,0.3,0.65,0.7,0.85,0.95,0.5,0.5,0.75,0.12,0.05
10,-0.1182,0.0659,-0.0158,0.6011,2.137,0,218250.0,192456.0,235,215,0.05,0.15,0.3,0.7,0.7,0.85,0.95,-0.5,0.55,0.75,0.08,0.05
10,-0.1225,0.0684,-0.0164,0.6022,2.1823,0,257250.0,225746.0,235,215,0.15,0.2,0.3,0.7,0.65,0.85,0.95,-0.5,0.55,0.75,0.08,0.05
10,-0.1294,0.0658,-0.0173,0.5988,2.1376,0,284250.0,247472.0,255,235,0.15,0.25,0.3,0.7,0.7,0.85,0.95,-0.5,0.6,0.75,0.12,0.05
10,-0.1298,0.0608,-0.0174,0.5771,2.0175,0,246000.0,214061.0,272,252,0.05,0.15,0.3,0.7,0.75,0.85,0.95,0.5,0.65,0.75,0.06,0.05
