window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.6649,0.1077,-0.1692,0.6941,1.5902,0.0,615750.0,206313.0,194,172,0.05,0.3,0.35,0.7,0.65,0.85,0.95,1.0,0.5,0.7,0.06,0.04
3,-0.6651,0.1073,-0.1692,0.6941,1.588,0.0,609000.0,203947.0,193,171,0.05,0.25,0.35,0.5,0.7,0.85,0.95,1.0,0.55,0.75,0.06,0.04
3,-0.6656,0.1065,-0.1694,0.6941,1.5729,0.0,592500.0,198141.0,193,171,0.05,0.2,0.35,0.55,0.7,0.85,0.95,1.0,0.5,0.7,0.12,0.04
3,-0.6657,0.1062,-0.1695,0.6941,1.5716,0.0,593250.0,198318.0,194,172,0.05,0.2,0.35,0.6,0.7,0.85,0.95,1.0,0.55,0.75,0.08,0.04
3,-0.6659,0.106,-0.1696,0.6941,1.5691,0.0,576000.0,192416.0,193,171,0.05,0.15,0.3,0.5,0.65,0.85,0.95,1.0,0.5,0.8,0.06,0.04
5,0.223,0.1809,0.0347,0.3231,1.8857,0.1075,625500.0,765004.0,184,171,0.05,0.25,0.35,0.5,0.65,0.85,0.95,1.0,0.5,0.75,0.12,0.04
5,0.223,0.1809,0.0347,0.3231,1.8857,0.1075,625500.0,765004.0,184,171,0.05,0.25,0.3,0.5,0.75,0.85,0.95,1.0,0.55,0.75,0.1,0.04
5,0.2226,0.1807,0.0347,0.3231,1.8828,0.1073,626250.0,765647.0,185,172,0.05,0.25,0.3,0.7,0.75,0.85,0.95,1.0,0.5,0.8,0.06,0.05
5,0.2226,0.1807,0.0347,0.3231,1.8828,0.1073,626250.0,765647.0,185,172,0.05,0.25,0.3,0.7,0.7,0.85,0.95,1.0,0.55,0.75,0.12,0.05
5,0.2226,0.1807,0.0347,0.3231,1.8828,0.1073,626250.0,765647.0,185,172,0.05,0.25,0.35,0.6,0.65,0.85,0.95,1.0,0.5,0.8,0.1,0.03
