window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7828,0.0343,-0.2666,0.7019,1.4998,0,390750.0,84857.0,142,126,0.1,0.3,0.4,0.7,0.75,0.85,0.95,1.0,0.65,0.8,0.1,0.04
3,-0.783,0.0339,-0.2667,0.7012,1.4914,0,381750.0,82839.0,142,126,0.1,0.25,0.45,0.7,0.75,0.85,0.95,1.0,0.6,0.8,0.1,0.04
3,-0.7831,0.0334,-0.2667,0.6977,1.4658,0,354750.0,76958.0,142,126,0.1,0.15,0.45,0.7,0.65,0.85,0.95,1.0,0.65,0.7,0.1,0.04
3,-0.7832,0.0336,-0.2668,0.7109,1.4372,0,381750.0,82759.0,152,136,0.1,0.25,0.35,0.65,0.75,0.85,0.95,0.5,0.5,0.75,0.1,0.04
3,-0.7834,0.0333,-0.267,0.7083,1.4184,0,389250.0,84312.0,157,141,0.1,0.25,0.35,0.7,0.75,0.85,0.95,0.5,0.65,0.8,0.12,0.04
5,-0.7805,0.0738,-0.2668,0.7569,1.5928,0,405750.0,89053.0,157,141,0.05,0.3,0.45,0.6,0.65,0.85,0.95,1.0,0.6,0.75,0.06,0.05
5,-0.7806,0.0732,-0.2668,0.7569,1.4459,0,419250.0,91986.0,156,140,0.1,0.25,0.45,0.6,0.75,0.85,0.95,1.0,0.5,0.8,0.06,0.05
5,-0.7806,0.0739,-0.2668,0.7569,1.588,0,414750.0,90992.0,163,147,0.05,0.3,0.45,0.7,0.65,0.85,0.95,0.5,0.55,0.7,0.1,0.05
5,-0.781,0.0726,-0.2671,0.7569,1.5796,0,386250.0,84598.0,156,140,0.05,0.25,0.45,0.65,0.7,0.85,0.95,1.0,0.5,0.75,0.12,0.05
5,-0.781,0.0725,-0.2671,0.7569,1.4498,0,432000.0,94622.0,157,141,0.1,0.3,0.4,0.6,0.75,0.85,0.95,1.0,0.65,0.75,0.08,0.05
