window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.8771,0.0259,-0.2924,0.8494,1.2341,0,363000.0,44604.0,183,154,0.05,0.15,0.3,0.6,0.75,0.85,0.95,-0.5,0.5,0.8,0.1,0.05
3,-0.8773,0.0257,-0.2925,0.849,1.3822,0,415500.0,51002.0,188,159,0.1,0.15,0.45,0.65,0.75,0.85,0.95,-0.5,0.5,0.8,0.08,0.05
3,-0.8773,0.0254,-0.2926,0.8487,1.3954,0,411750.0,50529.0,183,154,0.1,0.15,0.45,0.6,0.7,0.85,0.95,0.0,0.5,0.8,0.1,0.05
3,-0.8773,0.0267,-0.2926,0.8488,1.3546,0,378000.0,46383.0,188,159,0.05,0.15,0.4,0.65,0.75,0.85,0.95,0.5,0.5,0.7,0.1,0.05
3,-0.8773,0.0254,-0.2925,0.8499,1.2105,0,369000.0,45287.0,191,162,0.05,0.15,0.3,0.7,0.7,0.85,0.95,-0.5,0.5,0.8,0.08,0.05
5,-0.8125,0.0779,-0.2413,0.8294,1.5016,0,450750.0,84502.0,190,164,0.05,0.25,0.45,0.6,0.7,0.85,0.95,-0.5,0.5,0.75,0.12,0.04
5,-0.8126,0.0787,-0.2414,0.8294,1.2672,0,462750.0,86716.0,188,162,0.05,0.3,0.45,0.55,0.7,0.85,0.95,0.0,0.5,0.75,0.06,0.04
5,-0.8127,0.0775,-0.2415,0.8294,1.4953,0,453000.0,84827.0,193,167,0.05,0.25,0.45,0.65,0.75,0.85,0.95,0.5,0.5,0.75,0.12,0.04
5,-0.8127,0.0787,-0.2415,0.8294,1.2577,0,466500.0,87366.0,193,167,0.05,0.3,0.45,0.65,0.7,0.85,0.95,1.0,0.5,0.75,0.1,0.04
5,-0.8129,0.075,-0.2416,0.8294,1.4972,0,440250.0,82381.0,190,164,0.1,0.15,0.45,0.6,0.75,0.85,0.95,1.0,0.5,0.75,0.12,0.04
