window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7564,0.0588,-0.1542,0.7594,1.0331,0,559500.0,136297.0,229,201,0.1,0.15,0.35,0.6,0.75,0.85,0.95,0.0,0.5,0.7,0.08,0.05
3,-0.7565,0.0599,-0.1543,0.7594,1.1451,0,526500.0,128191.0,185,157,0.1,0.15,0.35,0.5,0.65,0.85,0.95,1.0,0.5,0.8,0.06,0.05
3,-0.7567,0.0583,-0.1543,0.7594,1.0313,0,579000.0,140879.0,232,204,0.1,0.15,0.45,0.65,0.65,0.85,0.95,0.0,0.5,0.75,0.1,0.05
3,-0.7567,0.0582,-0.1543,0.7594,1.0293,0,579750.0,141049.0,233,205,0.1,0.15,0.45,0.7,0.7,0.85,0.95,-0.5,0.5,0.7,0.06,0.05
3,-0.7569,0.0588,-0.1544,0.7594,1.0274,0,573750.0,139478.0,233,205,0.1,0.2,0.3,0.65,0.65,0.85,0.95,-0.5,0.5,0.7,0.08,0.05
5,-0.6278,0.078,-0.1096,0.7081,1.1747,0,466500.0,173645.0,185,167,0.1,0.15,0.3,0.5,0.65,0.85,0.95,1.0,0.55,0.75,0.08,0.05
5,-0.6282,0.076,-0.1097,0.7081,1.0871,0,511500.0,190170.0,220,202,0.1,0.15,0.45,0.55,0.7,0.85,0.95,-0.5,0.5,0.7,0.08,0.05
5,-0.6286,0.0762,-0.1098,0.7081,1.1101,0,462000.0,171578.0,205,187,0.05,0.15,0.4,0.5,0.7,0.85,0.95,-0.5,0.5,0.75,0.12,0.05
5,-0.6288,0.0771,-0.1098,0.7081,1.203,0,514500.0,190960.0,252,234,0.1,0.15,0.3,0.6,0.75,0.85,0.95,0.0,0.55,0.8,0.12,0.05
5,-0.6289,0.0772,-0.1099,0.7081,1.1296,0,483750.0,179505.0,201,183,0.1,0.15,0.35,0.5,0.7,0.85,0.95,0.5,0.6,0.75,0.06,0.05
8,-0.4953,0.0799,-0.0772,0.6282,1.1912,0,457500.0,230892.0,194,176,0.1,0.15,0.3,0.55,0.75,0.85,0.95,0.5,0.5,0.8,0.12,0.05
8,-0.4955,0.0802,-0.0772,0.6282,1.2308,0,453750.0,228924.0,182,164,0.1,0.15,0.35,0.55,0.65,0.85,0.95,1.0,0.5,0.75,0.12,0.05
8,-0.4955,0.0802,-0.0772,0.6282,1.2308,0,453750.0,228924.0,182,164,0.1,0.15,0.35,0.55,0.65,0.85,0.95,1.0,0.5,0.75,0.08,0.05
8,-0.4957,0.0789,-0.0772,0.6282,1.1624,0,472500.0,238294.0,205,187,0.1,0.15,0.35,0.5,0.7,0.85,0.95,0.0,0.5,0.7,0.12,0.05
8,-0.4959,0.0798,-0.0773,0.6282,1.193,0,462750.0,233287.0,194,176,0.1,0.15,0.35,0.55,0.75,0.85,0.95,0.5,0.5,0.8,0.1,0.05
