window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.8152,0.0242,-0.1785,0.8092,1.6157,0,399750.0,73871.0,149,124,0.05,0.2,0.45,0.7,0.7,0.85,0.95,1.0,0.5,0.8,0.06,0.05
3,-0.8153,0.0242,-0.1785,0.8101,1.4573,0,445500.0,82284.0,192,167,0.05,0.2,0.35,0.55,0.75,0.85,0.95,0.5,0.5,0.8,0.08,0.05
3,-0.8153,0.0239,-0.1785,0.8118,1.6155,0,394500.0,72850.0,148,123,0.05,0.2,0.35,0.55,0.65,0.85,0.95,1.0,0.5,0.7,0.06,0.05
3,-0.8153,0.0241,-0.1785,0.8123,1.3604,0,458250.0,84628.0,221,196,0.05,0.2,0.3,0.5,0.7,0.85,0.95,-0.5,0.5,0.7,0.08,0.05
3,-0.8153,0.0242,-0.1785,0.8098,1.4541,0,446250.0,82429.0,193,168,0.05,0.2,0.35,0.6,0.7,0.85,0.95,0.5,0.5,0.75,0.12,0.05
5,-0.3084,0.0575,-0.0421,0.4019,2.0571,0,438750.0,303445.0,168,150,0.05,0.15,0.3,0.5,0.75,0.85,0.95,1.0,0.5,0.75,0.1,0.05
5,-0.3085,0.0585,-0.0421,0.4019,1.7991,0,519000.0,358866.0,239,221,0.05,0.2,0.3,0.65,0.7,0.85,0.95,0.5,0.5,0.75,0.12,0.05
5,-0.3085,0.0578,-0.0421,0.4019,2.0619,0,444000.0,307039.0,168,150,0.05,0.15,0.45,0.5,0.7,0.85,0.95,1.0,0.5,0.8,0.06,0.05
5,-0.3085,0.0583,-0.0421,0.4019,1.7896,0,515250.0,356298.0,234,216,0.05,0.2,0.3,0.55,0.75,0.85,0.95,0.5,0.5,0.8,0.1,0.05
5,-0.309,0.0585,-0.0422,0.4019,1.7721,0,555000.0,383496.0,229,211,0.1,0.15,0.35,0.5,0.65,0.85,0.95,0.5,0.5,0.8,0.06,0.05
8,-0.6145,0.0629,-0.1051,0.6601,1.7276,0,509250.0,196297.0,182,171,0.1,0.15,0.3,0.7,0.65,0.85,0.95,1.0,0.5,0.7,0.1,0.04
8,-0.6145,0.0634,-0.1051,0.6601,1.8081,0,492000.0,189678.0,179,168,0.05,0.2,0.3,0.6,0.75,0.85,0.95,1.0,0.5,0.7,0.1,0.04
8,-0.6146,0.0659,-0.1051,0.6601,1.4847,0,698250.0,269094.0,302,291,0.05,0.3,0.35,0.7,0.65,0.85,0.95,0.0,0.5,0.8,0.08,0.04
8,-0.6151,0.0663,-0.1053,0.6601,1.8311,0,549750.0,211582.0,182,171,0.05,0.3,0.35,0.7,0.65,0.85,0.95,1.0,0.5,0.7,0.06,0.04
8,-0.6151,0.0649,-0.1053,0.6601,1.8316,0,523500.0,201493.0,179,168,0.05,0.25,0.35,0.55,0.75,0.85,0.95,1.0,0.5,0.7,0.06,0.04
