window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.8658,0.0415,-0.2162,0.8397,1.1268,0.0,660000.0,88558.0,258,235,0.2,0.3,0.45,0.55,0.65,0.85,0.95,-0.5,0.5,0.7,0.12,0.05
3,-0.8659,0.0405,-0.2163,0.8412,1.0975,0.0,600000.0,80454.0,258,235,0.2,0.25,0.3,0.55,0.75,0.85,0.95,0.0,0.5,0.7,0.12,0.05
3,-0.866,0.0409,-0.2163,0.8416,1.0902,0.0,646500.0,86648.0,271,248,0.2,0.3,0.35,0.65,0.7,0.85,0.95,-0.5,0.5,0.75,0.1,0.05
3,-0.866,0.0408,-0.2163,0.8409,1.0844,0.0,633750.0,84947.0,271,248,0.2,0.25,0.4,0.65,0.7,0.85,0.95,1.0,0.5,0.8,0.12,0.05
3,-0.8662,0.04,-0.2165,0.8408,1.051,0.0,604500.0,80858.0,280,257,0.15,0.25,0.3,0.7,0.75,0.85,0.95,-0.5,0.5,0.8,0.06,0.05
5,-0.5851,0.0615,-0.1012,0.6677,1.4062,0.0,651750.0,270409.0,327,311,0.05,0.15,0.3,0.55,0.65,0.85,0.95,1.0,0.5,0.7,0.12,0.04
5,-0.5852,0.0614,-0.1012,0.6677,1.5586,0.0,687750.0,285297.0,327,311,0.05,0.2,0.3,0.55,0.65,0.85,0.95,0.0,0.5,0.75,0.06,0.04
5,-0.5852,0.062,-0.1012,0.6677,1.438,0.0,756000.0,313591.0,327,311,0.05,0.25,0.35,0.55,0.75,0.85,0.95,0.0,0.5,0.7,0.12,0.04
5,-0.5853,0.0616,-0.1012,0.6677,1.397,0.0,654750.0,271542.0,331,315,0.05,0.15,0.3,0.65,0.7,0.85,0.95,-0.5,0.5,0.75,0.08,0.04
5,-0.5854,0.0618,-0.1013,0.6677,1.5985,0.0,707250.0,293234.0,305,289,0.05,0.2,0.45,0.5,0.75,0.85,0.95,1.0,0.5,0.7,0.08,0.04
8,-0.4315,0.0694,-0.0668,0.5194,1.5361,0.0,816750.0,464339.0,344,334,0.05,0.2,0.3,0.6,0.7,0.85,0.95,1.0,0.55,0.8,0.08,0.04
8,-0.4317,0.0695,-0.0669,0.5194,1.5118,0.0,824250.0,468383.0,354,344,0.05,0.2,0.3,0.65,0.65,0.85,0.95,0.0,0.55,0.75,0.08,0.04
8,-0.4318,0.0699,-0.0669,0.5194,1.7401,0.0,855750.0,486260.0,344,334,0.05,0.25,0.3,0.6,0.75,0.85,0.95,0.0,0.55,0.7,0.08,0.04
8,-0.4319,0.0699,-0.0669,0.5194,1.5702,0.0,835500.0,474632.0,333,323,0.05,0.2,0.4,0.6,0.65,0.85,0.95,-0.5,0.5,0.75,0.08,0.04
8,-0.432,0.0704,-0.0669,0.5194,1.8211,0.0,867750.0,492878.0,324,314,0.05,0.25,0.4,0.5,0.65,0.85,0.95,0.0,0.5,0.8,0.08,0.04
10,0.4751,0.0776,0.0483,0.2378,1.9296,0.2031,861750.0,1271140.0,343,339,0.05,0.2,0.3,0.6,0.7,0.85,0.95,-0.5,0.5,0.7,0.1,0.04
10,0.4744,0.0779,0.0482,0.2378,1.9044,0.2028,869250.0,1281659.0,353,349,0.05,0.2,0.3,0.65,0.65,0.85,0.9,0.0,0.5,0.7,0.06,0.04
10,0.4744,0.0779,0.0482,0.2378,1.9044,0.2028,869250.0,1281659.0,353,349,0.05,0.2,0.3,0.65,0.65,0.85,0.9,-0.5,0.5,0.7,0.06,0.04
10,0.4742,0.0781,0.0482,0.2378,1.8929,0.2028,872250.0,1285867.0,357,353,0.05,0.2,0.3,0.7,0.65,0.85,0.9,1.0,0.5,0.75,0.12,0.03
10,0.4742,0.0764,0.0482,0.243,1.9322,0.1983,813000.0,1198501.0,332,328,0.05,0.15,0.3,0.55,0.75,0.85,0.9,-0.5,0.5,0.7,0.06,0.03
