window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.5887,0.0376,-0.1038,0.6456,1.8434,0,631500.0,259707.0,195,169,0.05,0.2,0.45,0.55,0.75,0.85,0.95,1.0,0.65,0.75,0.06,0.05
3,-0.5887,0.0376,-0.1038,0.6456,1.8434,0,631500.0,259707.0,195,169,0.05,0.2,0.3,0.6,0.75,0.85,0.95,1.0,0.55,0.75,0.08,0.05
3,-0.5887,0.0376,-0.1038,0.6456,1.8434,0,631500.0,259707.0,195,169,0.05,0.2,0.35,0.7,0.75,0.85,0.95,1.0,0.6,0.8,0.12,0.05
3,-0.5888,0.0376,-0.1038,0.6456,1.8461,0,636000.0,261502.0,195,169,0.05,0.25,0.35,0.7,0.65,0.85,0.95,1.0,0.6,0.7,0.06,0.05
3,-0.5888,0.0376,-0.1038,0.6456,1.8461,0,636000.0,261502.0,195,169,0.05,0.3,0.35,0.65,0.65,0.85,0.95,1.0,0.55,0.7,0.1,0.05
5,-0.544,0.0368,-0.0914,0.6314,1.4578,0,928500.0,423369.0,270,256,0.15,0.2,0.3,0.55,0.65,0.85,0.95,0.5,0.65,0.8,0.1,0.03
5,-0.5442,0.0341,-0.0924,0.6448,1.4566,0,928500.0,423198.0,266,256,0.15,0.2,0.3,0.55,0.75,0.8,0.85,0.5,0.5,0.8,0.12,0.04
5,-0.5442,0.0367,-0.0915,0.6314,1.7129,0,1005000.0,458042.0,270,256,0.2,0.25,0.3,0.5,0.65,0.85,0.95,0.5,0.5,0.75,0.12,0.03
5,-0.5443,0.0368,-0.0915,0.6314,1.4595,0,935250.0,426216.0,270,256,0.15,0.2,0.35,0.6,0.75,0.85,0.95,0.5,0.6,0.7,0.1,0.03
5,-0.5443,0.0364,-0.0901,0.6314,1.7301,0,989250.0,450843.0,289,275,0.15,0.25,0.3,0.5,0.65,0.85,0.95,0.0,0.55,0.8,0.12,0.03
8,-0.1703,0.0336,-0.0227,0.3158,2.0908,0,810000.0,672072.0,226,215,0.1,0.15,0.45,0.55,0.7,0.85,0.95,1.0,0.6,0.75,0.08,0.03
8,-0.1703,0.0336,-0.0227,0.3158,2.0908,0,810000.0,672072.0,226,215,0.1,0.15,0.3,0.6,0.75,0.85,0.95,1.0,0.55,0.8,0.12,0.03
8,-0.1703,0.0336,-0.0227,0.3158,2.0908,0,810000.0,672072.0,226,215,0.1,0.15,0.3,0.6,0.7,0.85,0.95,1.0,0.65,0.75,0.06,0.03
8,-0.171,0.0332,-0.0226,0.3158,1.9261,0,939750.0,779077.0,284,273,0.1,0.2,0.3,0.6,0.7,0.85,0.95,0.5,0.65,0.7,0.12,0.03
8,-0.171,0.0332,-0.0226,0.3158,1.9261,0,939750.0,779077.0,284,273,0.1,0.2,0.3,0.7,0.65,0.85,0.95,0.5,0.55,0.7,0.12,0.03
