window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7696,-0.169,0.7997,1.69,0.0,915000.0,210776.0,284,262,0.1,0.3,0.35,0.5,0.75,0.85,0.95,0.5,0.55,0.8,0.12,0.04
3,-0.7697,-0.169,0.7997,1.7221,0.0,897750.0,206733.0,294,272,0.1,0.25,0.3,0.55,0.75,0.85,0.95,0.0,0.6,0.8,0.12,0.04
3,-0.7697,-0.169,0.7997,1.6776,0.0,789750.0,181853.0,284,262,0.05,0.2,0.3,0.5,0.65,0.85,0.95,1.0,0.55,0.75,0.06,0.04
3,-0.7697,-0.169,0.7997,1.7062,0.0,790500.0,182015.0,285,263,0.05,0.2,0.3,0.5,0.65,0.85,0.95,1.0,0.6,0.8,0.1,0.04
3,-0.7697,-0.169,0.7997,1.7221,0.0,897750.0,206733.0,294,272,0.1,0.25,0.3,0.55,0.75,0.85,0.95,0.0,0.6,0.7,0.1,0.04
5,-0.5323,-0.0935,0.6064,1.4936,0.0,991500.0,463746.0,298,286,0.2,0.25,0.3,0.5,0.75,0.85,0.9,0.0,0.6,0.7,0.08,0.04
5,-0.5324,-0.0927,0.6064,2.0614,0.0,995250.0,465416.0,303,291,0.2,0.25,0.3,0.6,0.7,0.85,0.9,1.0,0.5,0.8,0.06,0.04
5,-0.5325,-0.0935,0.6064,1.4653,0.0,852000.0,398274.0,298,286,0.05,0.25,0.3,0.5,0.65,0.85,0.9,1.0,0.55,0.7,0.08,0.04
5,-0.5326,-0.093,0.6064,2.0285,0.0,999750.0,467260.0,309,297,0.2,0.25,0.3,0.55,0.7,0.85,0.9,1.0,0.65,0.7,0.1,0.04
5,-0.5326,-0.0936,0.6064,1.4536,0.0,861000.0,402422.0,298,286,0.05,0.25,0.35,0.5,0.75,0.85,0.9,-0.5,0.55,0.8,0.12,0.04
8,-0.1634,-0.0226,0.2962,1.8477,0.0,1019250.0,852684.0,333,323,0.2,0.25,0.3,0.5,0.65,0.85,0.95,-0.5,0.5,0.7,0.1,0.04
8,-0.1634,-0.0222,0.2967,2.0555,0.0,1099500.0,919840.0,337,327,0.2,0.3,0.35,0.5,0.75,0.85,0.95,-0.5,0.55,0.8,0.12,0.03
8,-0.1634,-0.0226,0.2962,1.8477,0.0,1019250.0,852684.0,333,323,0.2,0.25,0.3,0.5,0.75,0.85,0.95,0.5,0.5,0.8,0.06,0.04
8,-0.1643,-0.0227,0.2891,1.8053,0.0,1030500.0,861217.0,348,338,0.2,0.25,0.3,0.55,0.7,0.85,0.95,0.0,0.5,0.8,0.12,0.04
8,-0.1644,-0.0222,0.2903,2.0958,0.0,1114500.0,931330.0,357,347,0.2,0.3,0.35,0.55,0.65,0.85,0.95,0.5,0.65,0.7,0.08,0.04
10,0.147,0.0178,0.1554,1.7759,0.1148,1209750.0,1387638.0,357,351,0.2,0.25,0.3,0.5,0.75,0.85,0.95,0.0,0.5,0.7,0.08,0.03
10,0.1467,0.0174,0.1554,2.1784,0.1119,1217250.0,1395774.0,367,361,0.2,0.25,0.3,0.5,0.65,0.85,0.95,0.5,0.65,0.75,0.1,0.03
10,0.146,0.0174,0.1544,2.0785,0.113,1227750.0,1406969.0,362,356,0.2,0.25,0.35,0.5,0.65,0.85,0.95,0.0,0.55,0.75,0.06,0.05
10,0.1459,0.0174,0.1554,2.0498,0.1122,1222500.0,1400869.0,374,368,0.2,0.25,0.3,0.65,0.65,0.85,0.95,0.0,0.55,0.7,0.08,0.04
10,0.1458,0.0173,0.1545,2.1934,0.112,1231500.0,1411026.0,367,361,0.2,0.25,0.35,0.5,0.65,0.85,0.95,1.0,0.6,0.8,0.08,0.04
