window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.3462,-0.0491,0.4188,2.3549,0.0,548250.0,358461.0,184,155,0.1,0.25,0.45,0.6,0.65,0.85,0.95,1.0,0.65,0.8,0.12,0.05
3,-0.3467,-0.0492,0.4234,2.3296,0.0,510000.0,333188.0,183,154,0.05,0.3,0.4,0.6,0.75,0.85,0.95,1.0,0.55,0.75,0.1,0.05
3,-0.3469,-0.0493,0.4188,2.3641,0.0,545250.0,356096.0,183,154,0.1,0.25,0.35,0.55,0.7,0.85,0.95,1.0,0.6,0.7,0.06,0.05
3,-0.3473,-0.0493,0.4233,2.33,0.0,504750.0,329440.0,183,154,0.05,0.25,0.35,0.5,0.65,0.85,0.95,1.0,0.6,0.7,0.06,0.05
3,-0.3477,-0.0494,0.422,2.4533,0.0,426750.0,278361.0,183,154,0.05,0.15,0.35,0.5,0.65,0.85,0.95,1.0,0.65,0.75,0.12,0.05
5,0.0148,0.0017,0.4249,2.5567,0.0041,555750.0,563983.0,195,173,0.1,0.3,0.45,0.6,0.65,0.85,0.95,1.0,0.65,0.75,0.1,0.05
5,0.0123,0.0014,0.429,2.586,0.0034,533250.0,539827.0,188,166,0.1,0.3,0.4,0.55,0.75,0.85,0.95,1.0,0.6,0.8,0.12,0.05
5,0.0119,0.0014,0.429,2.6167,0.0033,521250.0,527459.0,183,161,0.1,0.3,0.45,0.55,0.65,0.85,0.95,1.0,0.55,0.75,0.12,0.05
5,0.0111,0.0013,0.429,2.5818,0.003,529500.0,535364.0,188,166,0.1,0.3,0.35,0.6,0.65,0.85,0.95,1.0,0.6,0.75,0.1,0.05
5,0.0102,0.0012,0.4282,2.5859,0.0028,485250.0,490197.0,183,161,0.05,0.3,0.4,0.6,0.75,0.85,0.95,1.0,0.55,0.8,0.1,0.05
8,0.0032,0.0004,0.4249,2.5877,0.0009,544500.0,546223.0,191,172,0.1,0.3,0.4,0.5,0.65,0.85,0.95,1.0,0.65,0.75,0.12,0.05
8,0.0015,0.0002,0.4282,2.4613,0.0004,495750.0,496490.0,203,184,0.05,0.3,0.4,0.65,0.75,0.85,0.95,1.0,0.55,0.75,0.1,0.05
8,0.0006,0.0001,0.434,2.6694,0.0002,489000.0,489286.0,203,184,0.1,0.2,0.45,0.6,0.75,0.85,0.95,1.0,0.6,0.75,0.1,0.05
8,-0.0013,-0.0002,0.4337,2.7352,0.0,435750.0,435175.0,188,169,0.1,0.15,0.35,0.55,0.7,0.85,0.95,1.0,0.55,0.7,0.06,0.05
8,-0.0018,-0.0002,0.4244,2.7626,0.0,484500.0,483623.0,191,172,0.1,0.2,0.4,0.5,0.65,0.85,0.95,1.0,0.65,0.75,0.06,0.05
