window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.1192,-0.0156,0.3974,2.5104,0,312750.0,275461.0,114,90,0.05,0.3,0.35,0.65,0.75,0.85,0.95,1.0,0.5,0.7,0.1,0.04
3,-0.1195,-0.0156,0.3914,1.7969,0,480750.0,423323.0,187,163,0.05,0.3,0.45,0.6,0.7,0.85,0.95,0.5,0.5,0.7,0.12,0.05
3,-0.1201,-0.0158,0.3995,2.5589,0,345000.0,303580.0,114,90,0.1,0.3,0.45,0.6,0.75,0.85,0.95,1.0,0.55,0.7,0.06,0.04
3,-0.1201,-0.0158,0.3995,2.5589,0,345000.0,303580.0,114,90,0.1,0.3,0.4,0.6,0.65,0.85,0.95,1.0,0.6,0.7,0.1,0.04
3,-0.1201,-0.0158,0.3995,2.5589,0,345000.0,303580.0,114,90,0.1,0.3,0.4,0.5,0.75,0.85,0.95,1.0,0.55,0.75,0.06,0.05
5,-0.1047,-0.0136,0.397,2.6815,0,352500.0,315602.0,108,90,0.2,0.3,0.4,0.6,0.7,0.85,0.95,1.0,0.6,0.75,0.06,0.04
5,-0.1052,-0.0137,0.4037,2.6235,0,319500.0,285877.0,108,90,0.1,0.25,0.45,0.6,0.7,0.85,0.95,1.0,0.6,0.75,0.08,0.05
5,-0.1058,-0.0137,0.3948,2.5795,0,286500.0,256183.0,107,89,0.05,0.3,0.45,0.6,0.75,0.85,0.95,1.0,0.55,0.8,0.08,0.05
5,-0.1071,-0.0139,0.3999,2.6696,0,346500.0,309380.0,108,90,0.15,0.3,0.45,0.65,0.75,0.85,0.95,1.0,0.65,0.8,0.06,0.04
5,-0.1071,-0.0139,0.3999,2.6696,0,346500.0,309380.0,108,90,0.15,0.3,0.45,0.6,0.75,0.85,0.95,1.0,0.6,0.75,0.1,0.04
8,-0.0559,-0.0076,0.3948,2.4728,0,360000.0,339860.0,131,115,0.05,0.3,0.45,0.5,0.7,0.85,0.95,1.0,0.65,0.8,0.1,0.05
8,-0.0577,-0.0079,0.3948,2.452,0,349500.0,329332.0,132,116,0.05,0.3,0.45,0.65,0.65,0.85,0.95,1.0,0.55,0.75,0.08,0.04
8,-0.0593,-0.0081,0.3948,2.5017,0,345750.0,325239.0,127,111,0.05,0.3,0.45,0.55,0.75,0.85,0.95,1.0,0.55,0.8,0.1,0.05
8,-0.0605,-0.0083,0.3948,2.4116,0,346500.0,325525.0,135,119,0.05,0.25,0.45,0.65,0.7,0.85,0.95,1.0,0.6,0.7,0.12,0.05
8,-0.061,-0.0083,0.3913,2.4983,0,432000.0,405652.0,137,121,0.2,0.3,0.45,0.65,0.75,0.85,0.95,1.0,0.65,0.75,0.06,0.05
