window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.376,-0.0584,0.4397,2.1157,0,375750.0,234470.0,210,183,0.05,0.15,0.45,0.65,0.65,0.85,0.95,1.0,0.5,0.8,0.06,0.05
3,-0.3771,-0.0586,0.4422,2.2636,0,356250.0,221909.0,204,177,0.05,0.15,0.35,0.6,0.75,0.85,0.95,1.0,0.5,0.75,0.12,0.05
3,-0.3772,-0.0587,0.4421,2.2563,0,348750.0,217205.0,204,177,0.05,0.15,0.3,0.6,0.65,0.85,0.95,0.5,0.5,0.75,0.08,0.05
3,-0.3775,-0.0587,0.4429,2.2861,0,384750.0,239525.0,204,177,0.1,0.15,0.35,0.6,0.7,0.85,0.95,1.0,0.5,0.7,0.1,0.05
3,-0.3778,-0.0588,0.4402,2.7337,0,388500.0,241732.0,198,171,0.1,0.15,0.4,0.5,0.75,0.85,0.95,0.5,0.5,0.7,0.12,0.05
5,-0.0988,-0.0134,0.5852,2.3878,0,297000.0,267667.0,216,198,0.1,0.15,0.3,0.65,0.65,0.85,0.95,1.0,0.5,0.8,0.08,0.05
5,-0.1033,-0.014,0.5817,2.2998,0,313500.0,281125.0,236,218,0.1,0.15,0.3,0.65,0.7,0.85,0.95,1.0,0.55,0.7,0.08,0.05
5,-0.1089,-0.0149,0.5864,2.4088,0,327000.0,291398.0,216,198,0.15,0.2,0.3,0.65,0.65,0.85,0.95,-0.5,0.5,0.8,0.12,0.05
5,-0.1108,-0.0151,0.5654,2.1715,0,357750.0,318105.0,268,250,0.1,0.15,0.35,0.65,0.7,0.85,0.95,0.0,0.65,0.75,0.08,0.05
5,-0.1115,-0.0153,0.5848,2.3558,0,273000.0,242574.0,216,198,0.05,0.15,0.3,0.65,0.7,0.85,0.95,0.5,0.5,0.7,0.1,0.05
8,-0.0326,-0.0043,0.5861,2.3489,0,257250.0,248868.0,212,193,0.1,0.2,0.35,0.65,0.65,0.85,0.95,-0.5,0.5,0.75,0.06,0.05
8,-0.034,-0.0045,0.5849,2.6037,0,228000.0,220238.0,175,156,0.15,0.2,0.3,0.5,0.7,0.85,0.95,-0.5,0.55,0.7,0.06,0.05
8,-0.0344,-0.0046,0.5675,2.5014,0,262500.0,253464.0,196,177,0.15,0.2,0.35,0.5,0.65,0.85,0.95,0.0,0.65,0.8,0.1,0.05
8,-0.0364,-0.0049,0.5848,2.5332,0,220500.0,212481.0,178,159,0.1,0.2,0.3,0.55,0.7,0.85,0.95,0.0,0.5,0.7,0.06,0.05
8,-0.038,-0.005,0.5867,2.2549,0,264000.0,253976.0,231,212,0.1,0.2,0.3,0.65,0.75,0.85,0.95,1.0,0.55,0.75,0.1,0.05
10,-0.1266,-0.017,0.6022,2.2109,0,252000.0,220108.0,228,208,0.15,0.2,0.3,0.65,0.7,0.85,0.95,0.0,0.55,0.8,0.1,0.05
10,-0.1347,-0.0182,0.6024,2.3028,0,252000.0,218063.0,212,192,0.15,0.25,0.3,0.6,0.65,0.85,0.95,0.5,0.55,0.7,0.12,0.05
10,-0.1352,-0.0184,0.6017,2.2385,0,223500.0,193273.0,209,189,0.1,0.2,0.3,0.65,0.65,0.85,0.95,0.0,0.5,0.7,0.12,0.05
10,-0.1366,-0.0185,0.6011,2.2277,0,201000.0,173535.0,212,192,0.05,0.15,0.3,0.6,0.75,0.85,0.95,0.5,0.55,0.75,0.06,0.05
10,-0.1399,-0.019,0.6005,2.3467,0,176250.0,151597.0,180,160,0.05,0.15,0.3,0.55,0.65,0.85,0.95,0.5,0.5,0.75,0.06,0.05
