window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.4643,-0.0718,0.4474,2.1672,0.0,519750.0,278422.0,196,170,0.05,0.15,0.4,0.55,0.75,0.85,0.95,1.0,0.55,0.8,0.08,0.05
3,-0.4643,-0.0718,0.4474,2.1672,0.0,519750.0,278422.0,196,170,0.05,0.15,0.4,0.5,0.7,0.85,0.95,1.0,0.6,0.7,0.1,0.05
3,-0.4648,-0.0719,0.4475,2.1836,0.0,575250.0,307877.0,196,170,0.05,0.25,0.45,0.5,0.75,0.85,0.95,1.0,0.55,0.7,0.12,0.05
3,-0.4649,-0.0719,0.4463,2.2784,0.0,564000.0,301769.0,197,171,0.1,0.15,0.45,0.6,0.7,0.85,0.95,1.0,0.65,0.7,0.06,0.05
3,-0.4654,-0.072,0.4462,2.1586,0.0,547500.0,292720.0,197,171,0.05,0.2,0.45,0.65,0.65,0.85,0.95,1.0,0.6,0.75,0.1,0.05
5,0.1161,0.013,0.4092,2.6529,0.0319,546000.0,609368.0,212,194,0.1,0.15,0.45,0.65,0.75,0.85,0.95,1.0,0.5,0.7,0.08,0.05
5,0.1153,0.013,0.385,2.5211,0.0336,669000.0,746120.0,210,192,0.15,0.25,0.45,0.5,0.75,0.85,0.95,1.0,0.65,0.7,0.1,0.05
5,0.115,0.0129,0.4092,2.6681,0.0316,537000.0,598773.0,210,192,0.1,0.15,0.35,0.5,0.65,0.85,0.95,1.0,0.55,0.75,0.1,0.05
5,0.1148,0.0129,0.4065,2.4506,0.0318,505500.0,563543.0,212,194,0.05,0.15,0.45,0.6,0.65,0.85,0.95,1.0,0.65,0.8,0.1,0.05
5,0.1148,0.0129,0.385,2.4959,0.0335,663750.0,739916.0,212,194,0.15,0.25,0.4,0.6,0.75,0.85,0.95,1.0,0.6,0.7,0.1,0.05
8,0.1485,0.0168,0.4092,2.6116,0.0411,573000.0,658106.0,229,218,0.1,0.15,0.45,0.65,0.7,0.85,0.95,1.0,0.65,0.7,0.08,0.05
8,0.1485,0.0168,0.4092,2.6116,0.0411,573000.0,658106.0,229,218,0.1,0.15,0.45,0.6,0.75,0.85,0.95,1.0,0.6,0.8,0.06,0.05
8,0.1478,0.0167,0.4105,2.605,0.0408,609000.0,699029.0,229,218,0.1,0.2,0.45,0.65,0.75,0.85,0.95,1.0,0.6,0.8,0.1,0.05
8,0.1472,0.0167,0.385,2.4555,0.0433,700500.0,803602.0,229,218,0.15,0.25,0.45,0.65,0.65,0.85,0.95,1.0,0.55,0.75,0.08,0.05
8,0.1472,0.0167,0.385,2.4616,0.0433,699750.0,802762.0,228,217,0.15,0.25,0.45,0.65,0.65,0.85,0.95,1.0,0.5,0.7,0.12,0.05
