window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,0.0711,0.0085,0.352,2.4953,0.0242,487500.0,522159.0,147,124,0.15,0.3,0.45,0.5,0.65,0.85,0.95,1.0,0.55,0.7,0.08,0.05
3,0.0711,0.0085,0.352,2.4953,0.0242,487500.0,522159.0,147,124,0.15,0.3,0.45,0.5,0.75,0.85,0.95,1.0,0.65,0.7,0.08,0.04
3,0.0706,0.0085,0.352,2.4845,0.024,477000.0,510686.0,147,124,0.15,0.25,0.45,0.5,0.7,0.85,0.95,1.0,0.55,0.8,0.08,0.04
3,0.0705,0.0084,0.352,2.4926,0.024,485250.0,519464.0,147,124,0.15,0.3,0.35,0.65,0.75,0.85,0.95,1.0,0.55,0.7,0.1,0.04
3,0.0702,0.0084,0.3514,2.4663,0.0239,457500.0,489628.0,147,124,0.1,0.3,0.45,0.5,0.75,0.85,0.95,1.0,0.65,0.7,0.1,0.04
5,-0.2049,-0.0279,0.3468,2.2901,0.0,512250.0,407315.0,152,134,0.2,0.3,0.4,0.5,0.75,0.85,0.95,1.0,0.5,0.8,0.12,0.05
5,-0.2055,-0.028,0.3463,2.215,0.0,486750.0,386736.0,158,140,0.15,0.3,0.45,0.65,0.7,0.85,0.95,1.0,0.5,0.8,0.06,0.05
5,-0.2056,-0.028,0.3636,2.1686,0.0,438750.0,348550.0,158,140,0.1,0.25,0.45,0.6,0.75,0.85,0.95,1.0,0.55,0.8,0.08,0.05
5,-0.2059,-0.028,0.3463,2.2448,0.0,482250.0,382940.0,154,136,0.15,0.3,0.4,0.55,0.7,0.85,0.95,1.0,0.6,0.75,0.08,0.05
5,-0.2063,-0.0281,0.3455,2.1893,0.0,459000.0,364305.0,158,140,0.1,0.3,0.35,0.65,0.75,0.85,0.95,1.0,0.65,0.75,0.08,0.05
8,0.1284,0.0152,0.3468,2.2645,0.0437,588750.0,664374.0,190,175,0.2,0.3,0.45,0.65,0.7,0.85,0.95,1.0,0.55,0.75,0.12,0.05
8,0.1272,0.015,0.3468,2.3349,0.0433,573750.0,646739.0,178,163,0.2,0.3,0.35,0.55,0.7,0.85,0.95,1.0,0.65,0.75,0.06,0.05
8,0.1268,0.015,0.3463,2.2675,0.0432,555750.0,626201.0,186,171,0.15,0.3,0.45,0.6,0.65,0.85,0.95,1.0,0.65,0.8,0.12,0.05
8,0.1267,0.015,0.3469,2.2596,0.0432,545250.0,614338.0,186,171,0.15,0.25,0.45,0.6,0.65,0.85,0.95,1.0,0.5,0.75,0.12,0.05
8,0.1267,0.015,0.3469,2.2596,0.0432,545250.0,614338.0,186,171,0.15,0.25,0.45,0.6,0.7,0.85,0.95,1.0,0.5,0.8,0.12,0.05
