window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.3205,-0.0474,0.5464,1.8847,0.0,513750.0,349113.0,250,227,0.1,0.15,0.3,0.6,0.75,0.85,0.95,0.5,0.5,0.7,0.08,0.05
3,-0.3209,-0.0475,0.5464,1.8921,0.0,512250.0,347859.0,248,225,0.1,0.15,0.3,0.55,0.7,0.85,0.95,-0.5,0.5,0.75,0.06,0.05
3,-0.3223,-0.0477,0.5425,1.9673,0.0,620250.0,420320.0,252,229,0.15,0.2,0.45,0.65,0.65,0.85,0.95,0.5,0.5,0.7,0.06,0.05
3,-0.3229,-0.0478,0.5443,1.8811,0.0,483750.0,327532.0,248,225,0.05,0.15,0.3,0.55,0.65,0.85,0.95,0.5,0.5,0.75,0.06,0.05
3,-0.3235,-0.0479,0.5391,1.9297,0.0,659250.0,445981.0,248,225,0.2,0.25,0.3,0.55,0.65,0.85,0.95,0.0,0.5,0.75,0.08,0.05
5,0.0366,0.0045,0.6535,2.1611,0.0069,453750.0,470376.0,282,265,0.1,0.2,0.3,0.65,0.7,0.85,0.95,0.5,0.5,0.75,0.12,0.05
5,0.0334,0.0041,0.6535,2.1986,0.0063,444000.0,458849.0,269,252,0.1,0.2,0.3,0.6,0.7,0.85,0.95,0.5,0.5,0.75,0.12,0.05
5,0.0332,0.0041,0.654,2.2128,0.0063,463500.0,478892.0,269,252,0.15,0.2,0.3,0.6,0.75,0.85,0.95,-0.5,0.5,0.75,0.12,0.05
5,0.029,0.0036,0.6525,2.1714,0.0055,406500.0,418303.0,269,252,0.1,0.15,0.3,0.6,0.75,0.85,0.95,1.0,0.5,0.75,0.08,0.05
5,0.0279,0.0034,0.6512,2.1408,0.0053,480750.0,494153.0,292,275,0.15,0.2,0.3,0.65,0.75,0.85,0.95,0.5,0.55,0.7,0.12,0.05
8,0.2411,0.0281,0.3743,2.6826,0.075,399750.0,496135.0,210,192,0.15,0.25,0.3,0.5,0.75,0.85,0.95,1.0,0.5,0.75,0.12,0.05
8,0.237,0.0276,0.3669,2.7001,0.0753,442500.0,547357.0,211,193,0.2,0.25,0.35,0.5,0.75,0.85,0.95,1.0,0.65,0.7,0.06,0.05
8,0.2368,0.0276,0.3652,2.6614,0.0756,393750.0,486979.0,210,192,0.15,0.2,0.35,0.5,0.7,0.85,0.95,1.0,0.5,0.8,0.08,0.05
8,0.2364,0.0276,0.3652,2.6549,0.0755,394500.0,487776.0,211,193,0.15,0.2,0.35,0.5,0.7,0.85,0.95,0.5,0.55,0.8,0.12,0.05
8,0.2328,0.0272,0.3743,2.6244,0.0726,351000.0,432726.0,211,193,0.05,0.25,0.3,0.5,0.65,0.85,0.95,0.5,0.55,0.8,0.12,0.05
10,0.1296,0.0154,0.5498,2.2474,0.028,298500.0,337182.0,249,228,0.15,0.2,0.3,0.5,0.7,0.85,0.9,1.0,0.5,0.75,0.12,0.05
10,0.1221,0.0145,0.5503,2.1904,0.0264,383250.0,430036.0,276,255,0.2,0.25,0.3,0.55,0.75,0.85,0.9,0.0,0.5,0.8,0.08,0.05
10,0.1208,0.0144,0.5516,2.2139,0.0261,303750.0,340442.0,256,235,0.15,0.2,0.3,0.5,0.7,0.85,0.9,0.5,0.65,0.75,0.06,0.05
10,0.1183,0.0141,0.5749,2.285,0.0245,380250.0,425228.0,250,228,0.2,0.25,0.35,0.5,0.65,0.85,0.95,-0.5,0.5,0.8,0.12,0.05
10,0.1177,0.014,0.5718,2.2003,0.0245,303750.0,339487.0,257,235,0.15,0.2,0.3,0.5,0.7,0.85,0.95,-0.5,0.65,0.75,0.12,0.05
