window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7823,-0.2662,0.7018,1.5247,0,384750.0,83771.0,137,121,0.1,0.3,0.45,0.65,0.7,0.85,0.95,1.0,0.5,0.75,0.1,0.04
3,-0.7828,-0.2665,0.7076,1.4546,0,407250.0,88474.0,153,137,0.1,0.3,0.45,0.65,0.7,0.85,0.95,0.5,0.55,0.8,0.06,0.04
3,-0.783,-0.2667,0.701,1.7147,0,353250.0,76646.0,133,117,0.05,0.3,0.45,0.6,0.7,0.85,0.95,1.0,0.5,0.75,0.1,0.04
3,-0.7832,-0.2668,0.6981,1.6885,0,360750.0,78218.0,138,122,0.05,0.3,0.45,0.65,0.75,0.85,0.95,1.0,0.6,0.8,0.06,0.04
3,-0.7832,-0.2668,0.7056,1.5118,0,372750.0,80817.0,137,121,0.1,0.25,0.4,0.65,0.7,0.85,0.95,1.0,0.5,0.7,0.12,0.04
5,-0.7809,-0.267,0.7569,1.401,0,393000.0,86109.0,161,145,0.1,0.15,0.45,0.6,0.7,0.85,0.95,0.5,0.5,0.75,0.08,0.05
5,-0.781,-0.2671,0.7569,1.4498,0,432000.0,94622.0,157,141,0.1,0.3,0.4,0.6,0.65,0.85,0.95,1.0,0.65,0.8,0.1,0.05
5,-0.781,-0.2671,0.7569,1.4498,0,432000.0,94622.0,157,141,0.1,0.3,0.4,0.6,0.7,0.85,0.95,1.0,0.65,0.8,0.06,0.05
5,-0.7811,-0.2672,0.7569,1.4589,0,444000.0,97197.0,158,142,0.1,0.3,0.45,0.5,0.65,0.85,0.95,0.5,0.55,0.75,0.08,0.05
5,-0.7814,-0.2674,0.7569,1.4395,0,412500.0,90167.0,156,140,0.1,0.25,0.4,0.6,0.7,0.85,0.95,1.0,0.5,0.75,0.12,0.05
