window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.8773,-0.2926,0.8487,1.3954,0,411750.0,50529.0,183,154,0.1,0.15,0.45,0.6,0.75,0.85,0.95,-0.5,0.5,0.75,0.08,0.05
3,-0.8774,-0.2927,0.8501,1.3789,0,410250.0,50299.0,188,159,0.1,0.15,0.35,0.65,0.75,0.85,0.95,-0.5,0.5,0.75,0.06,0.05
3,-0.8776,-0.2921,0.8476,1.2792,0,381750.0,46712.0,186,157,0.05,0.15,0.45,0.6,0.7,0.85,0.95,-0.5,0.55,0.75,0.08,0.05
3,-0.8778,-0.293,0.8486,1.1717,0,423750.0,51786.0,183,154,0.05,0.3,0.45,0.6,0.75,0.85,0.95,-0.5,0.5,0.8,0.08,0.05
3,-0.8779,-0.2931,0.8511,1.2469,0,422250.0,51570.0,188,159,0.1,0.2,0.3,0.65,0.7,0.85,0.95,-0.5,0.5,0.7,0.06,0.05
5,-0.813,-0.2416,0.8294,1.4764,0,403500.0,75459.0,185,159,0.05,0.15,0.45,0.5,0.75,0.85,0.95,0.0,0.5,0.75,0.08,0.04
5,-0.8136,-0.2421,0.8294,1.484,0,426750.0,79538.0,190,164,0.05,0.2,0.4,0.6,0.65,0.85,0.95,0.5,0.5,0.8,0.06,0.04
5,-0.8136,-0.2421,0.8294,1.484,0,426750.0,79538.0,190,164,0.05,0.2,0.4,0.6,0.65,0.85,0.95,0.0,0.5,0.8,0.08,0.04
5,-0.8136,-0.2421,0.8294,1.5158,0,477750.0,89046.0,190,164,0.1,0.25,0.4,0.6,0.7,0.85,0.95,0.5,0.5,0.75,0.12,0.04
5,-0.8137,-0.2421,0.8294,1.5054,0,476250.0,88720.0,188,162,0.1,0.25,0.4,0.55,0.65,0.85,0.95,0.5,0.5,0.75,0.08,0.04
