window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7564,-0.1542,0.7594,1.0368,0,549000.0,133761.0,226,198,0.1,0.15,0.3,0.55,0.65,0.85,0.95,-0.5,0.5,0.75,0.1,0.05
3,-0.7567,-0.1543,0.7594,1.0097,0,505500.0,123001.0,232,204,0.05,0.15,0.3,0.65,0.7,0.85,0.95,0.0,0.5,0.8,0.1,0.05
3,-0.7568,-0.1544,0.7594,1.0262,0,508500.0,123665.0,225,197,0.05,0.15,0.35,0.55,0.7,0.85,0.95,0.0,0.5,0.8,0.1,0.05
3,-0.757,-0.1544,0.7594,1.0512,0,609750.0,148175.0,226,198,0.15,0.2,0.35,0.55,0.7,0.85,0.95,-0.5,0.5,0.75,0.1,0.05
3,-0.7571,-0.1545,0.7594,1.0448,0,619500.0,150448.0,230,202,0.15,0.25,0.3,0.6,0.65,0.85,0.95,-0.5,0.5,0.75,0.12,0.05
5,-0.6281,-0.1097,0.7081,1.1638,0,472500.0,175732.0,189,171,0.1,0.15,0.35,0.55,0.65,0.85,0.95,1.0,0.55,0.75,0.1,0.05
5,-0.629,-0.1098,0.7081,1.2985,0,462000.0,171379.0,212,194,0.05,0.15,0.35,0.5,0.75,0.85,0.95,-0.5,0.55,0.8,0.1,0.05
5,-0.6294,-0.1101,0.7081,1.1263,0,509250.0,188704.0,205,187,0.1,0.2,0.35,0.5,0.75,0.85,0.95,0.0,0.5,0.8,0.08,0.05
5,-0.6295,-0.1101,0.7081,1.136,0,460500.0,170636.0,196,178,0.05,0.15,0.45,0.55,0.7,0.85,0.95,0.5,0.5,0.7,0.08,0.05
5,-0.6299,-0.1101,0.7081,1.23,0,511500.0,189298.0,241,223,0.1,0.15,0.3,0.55,0.75,0.85,0.95,-0.5,0.65,0.75,0.1,0.05
8,-0.4957,-0.0772,0.6282,1.1624,0,472500.0,238294.0,205,187,0.1,0.15,0.35,0.5,0.7,0.85,0.95,0.0,0.5,0.75,0.08,0.05
8,-0.4959,-0.0773,0.6282,1.193,0,462750.0,233287.0,194,176,0.1,0.15,0.35,0.55,0.75,0.85,0.95,0.5,0.5,0.7,0.1,0.05
8,-0.4967,-0.0775,0.6282,1.2186,0,459750.0,231411.0,186,168,0.1,0.15,0.35,0.55,0.7,0.85,0.95,1.0,0.55,0.7,0.12,0.05
8,-0.4969,-0.0774,0.6282,1.3156,0,491250.0,247168.0,226,208,0.1,0.15,0.35,0.55,0.7,0.85,0.95,0.0,0.55,0.8,0.1,0.05
8,-0.497,-0.0775,0.6282,1.1622,0,471000.0,236905.0,205,187,0.1,0.15,0.35,0.65,0.75,0.85,0.95,1.0,0.5,0.7,0.1,0.05
