window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7589,-0.154,0.6525,1.7095,0.0,468000.0,112816.0,154,122,0.15,0.3,0.45,0.65,0.7,0.75,0.95,1.0,0.55,0.7,0.06,0.05
3,-0.761,-0.1549,0.6626,1.711,0.0,469500.0,112204.0,154,122,0.15,0.3,0.4,0.6,0.7,0.75,0.95,1.0,0.6,0.75,0.1,0.05
3,-0.7614,-0.155,0.6622,1.6962,0.0,432000.0,103084.0,150,118,0.15,0.2,0.4,0.65,0.7,0.75,0.95,1.0,0.5,0.7,0.12,0.05
3,-0.7616,-0.1551,0.6612,1.7247,0.0,471000.0,112267.0,152,120,0.15,0.25,0.45,0.5,0.7,0.75,0.95,1.0,0.6,0.75,0.06,0.05
3,-0.7619,-0.1552,0.6658,1.7079,0.0,495750.0,118050.0,158,126,0.2,0.3,0.35,0.6,0.65,0.75,0.95,1.0,0.65,0.75,0.12,0.05
5,-0.0933,-0.0115,0.2839,2.3485,0.0,341250.0,309405.0,133,121,0.05,0.15,0.4,0.55,0.65,0.85,0.95,1.0,0.5,0.8,0.1,0.05
5,-0.0934,-0.0115,0.2857,2.3027,0.0,341250.0,309388.0,138,126,0.05,0.15,0.3,0.65,0.75,0.85,0.95,1.0,0.5,0.8,0.08,0.05
5,-0.0951,-0.0117,0.2786,2.445,0.0,450000.0,407189.0,135,123,0.15,0.3,0.35,0.6,0.7,0.85,0.95,1.0,0.5,0.75,0.12,0.05
5,-0.0951,-0.0117,0.2786,2.445,0.0,450000.0,407189.0,135,123,0.15,0.3,0.35,0.6,0.7,0.85,0.95,1.0,0.5,0.7,0.1,0.05
5,-0.0967,-0.0119,0.2857,2.3989,0.0,409500.0,369906.0,135,123,0.1,0.25,0.35,0.6,0.7,0.85,0.95,1.0,0.5,0.8,0.08,0.05
8,0.2092,0.0226,0.3206,2.3233,0.0704,383250.0,463423.0,159,148,0.05,0.15,0.3,0.55,0.65,0.85,0.95,1.0,0.5,0.75,0.12,0.05
8,0.2062,0.0223,0.289,1.9624,0.0771,461250.0,556366.0,235,224,0.1,0.15,0.3,0.6,0.75,0.85,0.95,0.0,0.5,0.75,0.06,0.05
8,0.2058,0.0222,0.3192,2.2824,0.0697,415500.0,501028.0,168,157,0.1,0.15,0.3,0.6,0.75,0.85,0.95,1.0,0.55,0.75,0.06,0.05
8,0.205,0.0222,0.2877,2.2648,0.077,425250.0,512429.0,178,167,0.1,0.15,0.35,0.5,0.7,0.85,0.95,0.5,0.5,0.7,0.06,0.05
8,0.2036,0.022,0.2767,1.9715,0.0796,461250.0,555143.0,235,224,0.05,0.15,0.4,0.6,0.7,0.85,0.95,0.0,0.5,0.8,0.08,0.05
