window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.8658,-0.2163,0.84,1.0973,0.0,646500.0,86735.0,268,245,0.2,0.25,0.45,0.6,0.75,0.85,0.95,1.0,0.5,0.75,0.06,0.05
3,-0.8658,-0.2162,0.8402,1.1068,0.0,667500.0,89575.0,268,245,0.2,0.3,0.45,0.6,0.75,0.85,0.95,0.0,0.5,0.7,0.06,0.05
3,-0.8659,-0.2163,0.8417,1.0958,0.0,644250.0,86366.0,268,245,0.2,0.3,0.35,0.6,0.75,0.85,0.95,1.0,0.5,0.8,0.06,0.05
3,-0.8659,-0.2163,0.8414,1.073,0.0,609750.0,81752.0,271,248,0.2,0.25,0.3,0.65,0.75,0.85,0.95,0.5,0.5,0.7,0.08,0.05
3,-0.866,-0.2163,0.8345,1.152,0.0,633750.0,84946.0,243,220,0.2,0.3,0.4,0.5,0.65,0.85,0.95,-0.5,0.5,0.75,0.1,0.05
5,-0.5841,-0.1009,0.6677,1.4417,0.0,635250.0,264192.0,305,289,0.05,0.15,0.3,0.5,0.65,0.85,0.95,0.5,0.5,0.8,0.06,0.04
5,-0.5851,-0.1012,0.6677,1.4062,0.0,651750.0,270409.0,327,311,0.05,0.15,0.3,0.55,0.75,0.85,0.95,0.0,0.5,0.75,0.06,0.04
5,-0.5852,-0.1012,0.6677,1.5586,0.0,687750.0,285297.0,327,311,0.05,0.2,0.3,0.55,0.75,0.85,0.95,0.5,0.5,0.7,0.06,0.04
5,-0.5852,-0.1012,0.6677,1.555,0.0,688500.0,285573.0,328,312,0.05,0.2,0.3,0.6,0.75,0.85,0.95,1.0,0.5,0.8,0.08,0.04
5,-0.5853,-0.1013,0.6677,1.428,0.0,759000.0,314724.0,331,315,0.05,0.25,0.35,0.65,0.65,0.85,0.95,0.5,0.5,0.8,0.08,0.04
8,-0.4303,-0.0666,0.5194,1.6492,0.0,746250.0,425112.0,340,330,0.05,0.15,0.3,0.65,0.75,0.85,0.95,1.0,0.5,0.7,0.1,0.04
8,-0.4315,-0.0668,0.5194,1.5503,0.0,834000.0,474107.0,340,330,0.05,0.2,0.35,0.65,0.7,0.85,0.95,0.0,0.5,0.7,0.12,0.04
8,-0.4315,-0.0668,0.5194,1.7688,0.0,848250.0,482242.0,334,324,0.05,0.25,0.3,0.55,0.75,0.85,0.95,1.0,0.55,0.7,0.12,0.04
8,-0.4315,-0.0668,0.5194,1.685,0.0,743250.0,422565.0,330,320,0.05,0.15,0.3,0.5,0.65,0.85,0.95,0.5,0.55,0.7,0.06,0.04
8,-0.4319,-0.0669,0.5194,1.552,0.0,840750.0,477606.0,340,330,0.05,0.2,0.4,0.65,0.65,0.85,0.95,0.5,0.5,0.7,0.12,0.04
10,0.4758,0.0483,0.2375,1.9453,0.2036,853500.0,1259593.0,332,328,0.05,0.2,0.3,0.55,0.75,0.85,0.95,0.0,0.5,0.8,0.06,0.04
10,0.4758,0.0483,0.2372,2.0058,0.2039,846000.0,1248545.0,322,318,0.05,0.2,0.3,0.5,0.7,0.85,0.9,1.0,0.5,0.75,0.12,0.04
10,0.4758,0.0483,0.2372,2.0058,0.2039,846000.0,1248545.0,322,318,0.05,0.2,0.3,0.5,0.65,0.85,0.95,0.0,0.5,0.7,0.06,0.05
10,0.4751,0.0483,0.2378,1.9296,0.2031,861750.0,1271140.0,343,339,0.05,0.2,0.3,0.6,0.75,0.85,0.95,1.0,0.5,0.8,0.06,0.04
10,0.4742,0.0482,0.2427,1.9921,0.1986,805500.0,1187452.0,322,318,0.05,0.15,0.3,0.5,0.75,0.85,0.9,0.5,0.5,0.8,0.1,0.03
