window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.696,-0.1311,0.7432,1.7177,0.0,783000.0,238042.0,201,175,0.2,0.25,0.3,0.65,0.65,0.85,0.95,1.0,0.5,0.7,0.12,0.05
3,-0.696,-0.1311,0.7432,1.7177,0.0,783000.0,238042.0,201,175,0.2,0.25,0.35,0.65,0.75,0.85,0.95,1.0,0.65,0.7,0.06,0.05
3,-0.6963,-0.1312,0.7432,1.5177,0.0,768000.0,233261.0,201,175,0.15,0.3,0.45,0.6,0.7,0.85,0.95,1.0,0.5,0.75,0.08,0.05
3,-0.6963,-0.1312,0.7432,1.5177,0.0,768000.0,233261.0,201,175,0.15,0.25,0.3,0.65,0.7,0.85,0.95,1.0,0.55,0.8,0.06,0.05
3,-0.6963,-0.1312,0.7432,1.5177,0.0,768000.0,233261.0,201,175,0.15,0.25,0.3,0.5,0.65,0.85,0.95,1.0,0.5,0.7,0.08,0.05
5,-0.2067,-0.027,0.319,2.3082,0.0,945000.0,749668.0,291,276,0.15,0.2,0.4,0.5,0.7,0.85,0.95,-0.5,0.6,0.8,0.1,0.04
5,-0.2067,-0.027,0.319,2.3101,0.0,949500.0,753230.0,291,276,0.15,0.2,0.45,0.5,0.7,0.85,0.95,-0.5,0.65,0.75,0.08,0.04
5,-0.2068,-0.027,0.319,2.2625,0.0,990750.0,785864.0,276,261,0.15,0.3,0.45,0.5,0.75,0.85,0.95,0.5,0.6,0.75,0.06,0.04
5,-0.2069,-0.027,0.319,2.2652,0.0,1010250.0,801276.0,306,291,0.15,0.3,0.45,0.55,0.75,0.85,0.95,-0.5,0.65,0.7,0.12,0.04
5,-0.2069,-0.027,0.319,2.1939,0.0,978000.0,775685.0,291,276,0.15,0.25,0.45,0.5,0.65,0.85,0.95,0.0,0.55,0.8,0.06,0.04
8,0.1291,0.0144,0.1471,2.3626,0.0981,1005000.0,1134763.0,281,270,0.15,0.3,0.35,0.55,0.7,0.85,0.9,0.5,0.65,0.75,0.06,0.05
8,0.1291,0.0144,0.1471,2.3626,0.0981,1005000.0,1134763.0,281,270,0.15,0.3,0.35,0.5,0.7,0.85,0.9,0.5,0.65,0.75,0.1,0.03
8,0.1291,0.0144,0.1471,2.3626,0.0981,1005000.0,1134763.0,281,270,0.15,0.3,0.35,0.55,0.7,0.85,0.9,0.5,0.6,0.75,0.12,0.03
8,0.1291,0.0144,0.1471,2.3626,0.0981,1005000.0,1134763.0,281,270,0.15,0.3,0.35,0.65,0.75,0.85,0.9,0.5,0.65,0.8,0.1,0.03
8,0.129,0.0144,0.1471,2.4143,0.098,1014750.0,1145610.0,281,270,0.15,0.3,0.4,0.55,0.7,0.85,0.95,0.5,0.6,0.75,0.08,0.05
