window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7671,-0.159,0.7777,1.4928,0,728250.0,169639.0,270,243,0.05,0.3,0.35,0.55,0.75,0.85,0.95,-0.5,0.5,0.8,0.12,0.05
3,-0.7671,-0.159,0.7777,1.4801,0,731250.0,170298.0,274,247,0.05,0.3,0.35,0.6,0.75,0.85,0.95,-0.5,0.6,0.8,0.08,0.05
3,-0.7688,-0.1597,0.7777,1.2429,0,783750.0,181238.0,276,249,0.1,0.3,0.35,0.65,0.7,0.85,0.95,-0.5,0.6,0.7,0.1,0.05
3,-0.7689,-0.1598,0.7777,1.1835,0,658500.0,152169.0,270,243,0.05,0.15,0.3,0.55,0.75,0.85,0.95,-0.5,0.5,0.8,0.06,0.05
3,-0.769,-0.1598,0.7777,1.4592,0,688500.0,159066.0,274,247,0.05,0.25,0.3,0.6,0.65,0.85,0.95,-0.5,0.55,0.7,0.06,0.05
5,-0.6532,-0.1185,0.7237,1.5638,0,847500.0,293910.0,309,290,0.05,0.3,0.4,0.6,0.75,0.85,0.95,-0.5,0.65,0.7,0.08,0.05
5,-0.6533,-0.1185,0.7237,1.6072,0,822000.0,284976.0,288,269,0.05,0.3,0.35,0.65,0.75,0.85,0.95,0.0,0.55,0.8,0.08,0.05
5,-0.6534,-0.1185,0.7237,1.5614,0,817500.0,283353.0,307,288,0.05,0.25,0.35,0.55,0.7,0.85,0.95,-0.5,0.6,0.75,0.1,0.05
5,-0.6535,-0.1186,0.7237,1.6176,0,816750.0,282975.0,285,266,0.05,0.25,0.4,0.5,0.65,0.85,0.95,0.0,0.55,0.8,0.08,0.05
5,-0.6536,-0.1186,0.7237,1.6137,0,843750.0,292296.0,287,268,0.05,0.3,0.45,0.55,0.7,0.85,0.95,0.0,0.6,0.8,0.06,0.05
8,-0.338,-0.0479,0.5367,1.7709,0,816000.0,540215.0,296,278,0.05,0.25,0.35,0.5,0.75,0.85,0.95,0.0,0.5,0.7,0.1,0.03
8,-0.338,-0.0479,0.5367,1.7651,0,817500.0,541146.0,298,280,0.05,0.25,0.35,0.55,0.75,0.85,0.95,0.0,0.5,0.8,0.08,0.03
8,-0.3382,-0.0479,0.5367,1.7638,0,878250.0,581253.0,317,299,0.05,0.3,0.45,0.55,0.75,0.85,0.95,-0.5,0.6,0.8,0.08,0.03
8,-0.3383,-0.048,0.5367,1.7696,0,862500.0,570749.0,299,281,0.05,0.3,0.45,0.6,0.7,0.85,0.95,0.0,0.65,0.8,0.1,0.03
8,-0.3383,-0.048,0.5367,1.7157,0,873000.0,577639.0,333,315,0.05,0.3,0.4,0.65,0.65,0.85,0.95,-0.5,0.6,0.8,0.06,0.03
