window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.5998,-0.1083,0.5407,0.8363,0,543750.0,217595.0,216,190,0.15,0.2,0.3,0.5,0.7,0.85,0.95,-0.5,0.6,0.7,0.1,0.05
3,-0.6004,-0.1036,0.6065,1.0398,0,517500.0,206796.0,236,210,0.1,0.15,0.4,0.65,0.7,0.85,0.95,-0.5,0.65,0.75,0.1,0.05
3,-0.6004,-0.1036,0.6067,1.0698,0,562500.0,224753.0,229,203,0.15,0.2,0.35,0.6,0.7,0.85,0.95,-0.5,0.5,0.7,0.12,0.05
3,-0.6008,-0.1037,0.6066,1.0451,0,534750.0,213487.0,236,210,0.1,0.2,0.35,0.65,0.75,0.85,0.95,-0.5,0.5,0.75,0.08,0.05
3,-0.6008,-0.1037,0.6066,1.0451,0,534750.0,213487.0,236,210,0.1,0.2,0.35,0.65,0.65,0.85,0.95,-0.5,0.65,0.8,0.12,0.05
5,-0.6132,-0.1058,0.5836,0.7919,0,555000.0,214688.0,235,205,0.1,0.15,0.3,0.55,0.75,0.8,0.95,-0.5,0.65,0.8,0.12,0.05
5,-0.6143,-0.1061,0.5836,0.9909,0,531000.0,204813.0,231,201,0.05,0.2,0.3,0.5,0.75,0.8,0.95,-0.5,0.6,0.75,0.06,0.05
5,-0.6149,-0.1063,0.5836,0.7637,0,568500.0,218905.0,253,223,0.1,0.15,0.3,0.65,0.75,0.8,0.95,-0.5,0.65,0.75,0.1,0.05
5,-0.6156,-0.1065,0.5836,1.3661,0,543750.0,208999.0,235,205,0.05,0.2,0.35,0.55,0.75,0.8,0.95,-0.5,0.6,0.7,0.12,0.05
5,-0.6157,-0.1065,0.5836,1.0533,0,577500.0,221914.0,243,213,0.1,0.15,0.4,0.6,0.7,0.8,0.95,-0.5,0.65,0.7,0.08,0.05
8,-0.704,-0.1336,0.7371,1.3032,0,536250.0,158746.0,236,208,0.05,0.15,0.35,0.5,0.75,0.8,0.95,-0.5,0.6,0.7,0.1,0.05
8,-0.704,-0.1336,0.7371,1.0343,0,588750.0,174255.0,236,208,0.1,0.15,0.35,0.5,0.65,0.8,0.95,-0.5,0.5,0.75,0.06,0.05
8,-0.7043,-0.1337,0.7371,1.0261,0,591750.0,174984.0,240,212,0.1,0.15,0.35,0.55,0.7,0.8,0.95,-0.5,0.55,0.75,0.06,0.05
8,-0.7049,-0.1339,0.7371,1.0276,0,598500.0,176596.0,240,212,0.1,0.15,0.4,0.55,0.75,0.8,0.95,-0.5,0.55,0.75,0.08,0.05
8,-0.7051,-0.134,0.7371,0.7719,0,604500.0,178271.0,240,212,0.1,0.2,0.3,0.55,0.65,0.8,0.95,-0.5,0.65,0.7,0.06,0.05
