window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.9971,-0.5247,0.9959,0.7335,0,429750.0,1242.0,246,214,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.05
3,-0.9971,-0.5247,0.9959,0.7335,0,429750.0,1242.0,246,214,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.05
3,-0.9971,-0.5247,0.9959,0.7335,0,429750.0,1242.0,246,214,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.1,0.05
3,-0.9971,-0.5247,0.9959,0.7335,0,429750.0,1242.0,246,214,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.12,0.05
3,-0.9971,-0.5247,0.9959,0.7335,0,429750.0,1242.0,246,214,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.75,0.06,0.05
5,-0.9562,-0.3284,0.9711,1.0465,0,477000.0,20903.0,265,232,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.03
5,-0.9562,-0.3284,0.9733,1.0519,0,477000.0,20891.0,265,232,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.04
5,-0.9562,-0.3284,0.9711,1.0465,0,477000.0,20903.0,265,232,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.03
5,-0.9562,-0.3284,0.9733,1.0519,0,477000.0,20891.0,265,232,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.04
5,-0.9562,-0.3284,0.9711,1.0465,0,477000.0,20903.0,265,232,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.1,0.03
