window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.9968,-0.491,0.9948,0.7127,0,416250.0,1348.0,198,165,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.05
3,-0.9968,-0.491,0.9948,0.7127,0,416250.0,1348.0,198,165,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.05
3,-0.9968,-0.491,0.9948,0.7127,0,416250.0,1348.0,198,165,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.1,0.05
3,-0.9968,-0.491,0.9948,0.7127,0,416250.0,1348.0,198,165,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.12,0.05
3,-0.9968,-0.491,0.9948,0.7127,0,416250.0,1348.0,198,165,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.75,0.06,0.05
5,-0.9655,-0.3273,0.9662,0.8877,0,427500.0,14749.0,199,166,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.05
5,-0.9655,-0.3273,0.9662,0.8877,0,427500.0,14749.0,199,166,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.05
5,-0.9655,-0.3273,0.9662,0.8877,0,427500.0,14749.0,199,166,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.1,0.05
5,-0.9655,-0.3273,0.9662,0.8877,0,427500.0,14749.0,199,166,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.12,0.05
5,-0.9655,-0.3273,0.9662,0.8877,0,427500.0,14749.0,199,166,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.75,0.06,0.05
8,-0.9916,-0.4338,0.9883,0.7468,0,451500.0,3795.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.05
8,-0.9916,-0.4338,0.9883,0.7468,0,451500.0,3795.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.05
8,-0.9916,-0.4338,0.9883,0.7468,0,451500.0,3795.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.1,0.05
8,-0.9916,-0.4338,0.9883,0.7468,0,451500.0,3795.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.12,0.05
8,-0.9916,-0.4338,0.9883,0.7468,0,451500.0,3795.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.75,0.06,0.05
