window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.9341,-0.4197,0.9408,1.0193,0,479250.0,31590.0,193,185,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.05
3,-0.9341,-0.4197,0.9408,1.0193,0,479250.0,31590.0,193,185,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.05
3,-0.9341,-0.4197,0.9408,1.0193,0,479250.0,31590.0,193,185,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.1,0.05
3,-0.9341,-0.4197,0.9408,1.0193,0,479250.0,31590.0,193,185,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.12,0.05
3,-0.9341,-0.4197,0.9408,1.0193,0,479250.0,31590.0,193,185,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.75,0.06,0.05
5,-0.3986,-0.0964,0.5394,1.2912,0,495000.0,297690.0,207,196,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.04
5,-0.3986,-0.0964,0.5394,1.2912,0,495000.0,297690.0,207,196,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.04
5,-0.3986,-0.0964,0.5394,1.2912,0,495000.0,297690.0,207,196,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.1,0.04
5,-0.3986,-0.0964,0.5394,1.2912,0,495000.0,297690.0,207,196,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.12,0.04
5,-0.3986,-0.0964,0.5394,1.2912,0,495000.0,297690.0,207,196,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.75,0.06,0.04
