window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.9995,-0.6255,0.9994,0.561,0,349500.0,189.0,192,154,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.05
3,-0.9995,-0.6255,0.9994,0.561,0,349500.0,189.0,192,154,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.05
3,-0.9995,-0.6255,0.9994,0.561,0,349500.0,189.0,192,154,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.1,0.05
3,-0.9995,-0.6255,0.9994,0.561,0,349500.0,189.0,192,154,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.12,0.05
3,-0.9995,-0.6255,0.9994,0.561,0,349500.0,189.0,192,154,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.75,0.06,0.05
5,-0.9724,-0.3771,0.9738,0.8603,0,386250.0,10652.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.5,0.5,0.7,0.06,0.05
5,-0.9724,-0.3771,0.9738,0.8603,0,386250.0,10652.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.5,0.5,0.7,0.08,0.05
5,-0.9724,-0.3771,0.9738,0.8603,0,386250.0,10652.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.5,0.5,0.7,0.1,0.05
5,-0.9724,-0.3771,0.9738,0.8603,0,386250.0,10652.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.5,0.5,0.7,0.12,0.05
5,-0.9724,-0.3771,0.9738,0.8603,0,386250.0,10652.0,203,172,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.5,0.5,0.75,0.06,0.05
