window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.5641,-0.0932,0.646,1.0065,0,715500.0,311914.0,245,221,0.05,0.3,0.35,0.5,0.65,0.85,0.95,0.5,0.65,0.8,0.1,0.05
3,-0.5644,-0.0933,0.646,1.4034,0,734250.0,319805.0,246,222,0.05,0.3,0.45,0.55,0.75,0.85,0.95,0.5,0.6,0.75,0.08,0.05
3,-0.5644,-0.0933,0.646,0.8091,0,773250.0,336798.0,246,222,0.1,0.3,0.4,0.55,0.75,0.85,0.95,0.5,0.5,0.7,0.08,0.05
3,-0.5645,-0.0934,0.646,0.9922,0,648750.0,282516.0,246,222,0.05,0.15,0.4,0.55,0.7,0.85,0.95,0.5,0.5,0.75,0.06,0.05
3,-0.5646,-0.0934,0.646,0.9909,0,630000.0,274298.0,245,221,0.05,0.15,0.3,0.5,0.75,0.85,0.95,0.5,0.65,0.7,0.08,0.05
5,-0.1195,-0.0149,0.3157,2.2628,0,629250.0,554024.0,198,183,0.05,0.15,0.3,0.65,0.65,0.85,0.9,1.0,0.65,0.7,0.08,0.05
5,-0.1197,-0.0149,0.3157,1.8848,0,697500.0,614043.0,198,183,0.1,0.2,0.4,0.65,0.65,0.85,0.9,1.0,0.55,0.75,0.08,0.05
5,-0.1197,-0.0149,0.3157,1.8848,0,697500.0,614043.0,198,183,0.1,0.2,0.4,0.65,0.75,0.85,0.9,1.0,0.6,0.75,0.1,0.05
5,-0.1198,-0.0149,0.3157,2.2916,0,652500.0,574312.0,198,183,0.05,0.2,0.35,0.65,0.75,0.85,0.9,1.0,0.65,0.75,0.12,0.05
5,-0.1198,-0.0149,0.3157,2.2916,0,652500.0,574312.0,198,183,0.05,0.2,0.45,0.55,0.7,0.85,0.9,1.0,0.65,0.75,0.12,0.05
8,-0.1111,-0.0138,0.313,1.9091,0,705750.0,627342.0,194,187,0.1,0.2,0.3,0.5,0.75,0.85,0.9,1.0,0.55,0.75,0.08,0.05
8,-0.1112,-0.0138,0.313,1.9049,0,686250.0,609911.0,194,187,0.1,0.15,0.35,0.55,0.65,0.85,0.9,1.0,0.5,0.8,0.06,0.05
8,-0.1112,-0.0138,0.313,1.9049,0,686250.0,609911.0,194,187,0.1,0.15,0.35,0.5,0.75,0.85,0.9,1.0,0.65,0.7,0.1,0.05
8,-0.1114,-0.0138,0.313,1.9052,0,687000.0,610459.0,194,187,0.1,0.15,0.4,0.55,0.65,0.85,0.9,1.0,0.5,0.7,0.1,0.05
8,-0.1116,-0.0139,0.313,2.3305,0,663750.0,589652.0,194,187,0.05,0.2,0.35,0.55,0.7,0.85,0.9,1.0,0.55,0.7,0.06,0.05
