window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.9803,-0.4862,0.9992,0.9779,0.0,333000.0,6572.0,159,131,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.06,0.05
3,-0.9803,-0.4862,0.9992,0.9779,0.0,333000.0,6572.0,159,131,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.08,0.05
3,-0.9803,-0.4862,0.9992,0.9779,0.0,333000.0,6572.0,159,131,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.1,0.05
3,-0.9803,-0.4862,0.9992,0.9779,0.0,333000.0,6572.0,159,131,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.7,0.12,0.05
3,-0.9803,-0.4862,0.9992,0.9779,0.0,333000.0,6572.0,159,131,0.05,0.15,0.3,0.5,0.65,0.75,0.85,-0.5,0.5,0.75,0.06,0.05
5,0.2385,0.0408,0.885,2.1788,0.0461,318000.0,393839.0,118,104,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.0,0.5,0.7,0.06,0.05
5,0.2385,0.0408,0.885,2.1788,0.0461,318000.0,393839.0,118,104,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.0,0.5,0.7,0.08,0.05
5,0.2385,0.0408,0.885,2.1788,0.0461,318000.0,393839.0,118,104,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.0,0.5,0.7,0.1,0.05
5,0.2385,0.0408,0.885,2.1788,0.0461,318000.0,393839.0,118,104,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.0,0.5,0.7,0.12,0.05
5,0.2385,0.0408,0.885,2.1788,0.0461,318000.0,393839.0,118,104,0.05,0.15,0.3,0.5,0.65,0.75,0.85,0.0,0.5,0.75,0.06,0.05
