window,feature,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
8,PB_FED,-0.015618,0.1,0.15,0.35,0.7,0.7,0.75,0.85,-0.5,0.0,0.0,0.1,0.03
8,PB_FED,-0.015948,0.1,0.15,0.3,0.7,0.75,0.8,0.9,0.0,0.0,0.0,0.08,0.03
8,PB_FED,-0.016163,0.05,0.15,0.3,0.7,0.7,0.85,0.9,-0.5,0.0,0.0,0.1,0.03
8,PB_FED,-0.016261,0.1,0.15,0.35,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.12,0.04
8,PB_FED,-0.016387,0.1,0.15,0.35,0.7,0.75,0.85,0.9,-0.5,0.0,0.0,0.08,0.03
8,PB_FED,-0.016483,0.15,0.2,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_FED,-0.016525,0.1,0.15,0.35,0.7,0.7,0.75,0.85,-0.5,0.0,0.0,0.12,0.05
8,PB_only,-0.016625,0.1,0.15,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.06,0.03
8,PB_FED,-0.016646,0.1,0.15,0.35,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_FED,-0.016816,0.1,0.15,0.45,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.06,0.03
8,PB_FED,-0.016833,0.1,0.2,0.3,0.7,0.65,0.75,0.9,-0.5,0.0,0.0,0.06,0.04
8,PB_only,-0.016879,0.1,0.15,0.3,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_FED,-0.016886,0.15,0.2,0.3,0.7,0.7,0.85,0.9,-0.5,0.0,0.0,0.06,0.03
8,PB_only,-0.016942,0.05,0.15,0.3,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.08,0.04
8,PB_FED,-0.017062,0.05,0.15,0.4,0.7,0.7,0.8,0.85,-0.5,0.0,0.0,0.06,0.04
8,PB_FED,-0.017075,0.05,0.2,0.3,0.7,0.65,0.75,0.85,-0.5,0.0,0.0,0.1,0.04
8,PB_only,-0.01717,0.1,0.15,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.12,0.03
