he,ex,dt,heavy_ratio,extreme_ratio,000300_xirr,000300_return,000300_trades,000300_buys,000300_sells,000905_xirr,000905_return,000905_trades,000905_buys,000905_sells,000852_xirr,000852_return,000852_trades,000852_buys,000852_sells,000016_xirr,000016_return,000016_trades,000016_buys,000016_sells,399006_xirr,399006_return,399006_trades,399006_buys,399006_sells,399330_xirr,399330_return,399330_trades,399330_buys,399330_sells,avg_xirr,n_indices
0.8,0.85,0.05,0.35,0.5,0.1188,0.243064,326,314,12,0.1188,0.238366,300,285,15,0.182,0.396633,257,240,17,0.1575,0.214951,305,285,20,0.2583,0.772827,266,249,17,0.1926,0.371633,290,272,18,0.171333,6
0.8,0.85,0.04,0.35,0.5,0.119,0.242925,328,314,14,0.1194,0.239932,300,285,15,0.1824,0.396849,257,240,17,0.1563,0.201156,307,284,23,0.2596,0.773719,267,249,18,0.1907,0.367708,292,272,20,0.171233,6
0.8,0.95,0.03,0.35,0.5,0.1181,0.239785,331,314,17,0.126,0.24637,303,285,18,0.188,0.406399,265,240,25,0.1586,0.199416,311,284,27,0.2298,0.70662,276,249,27,0.1973,0.328965,307,271,36,0.169633,6
0.8,0.95,0.04,0.35,0.5,0.1181,0.239785,331,314,17,0.1258,0.245963,303,285,18,0.188,0.406399,265,240,25,0.1574,0.19879,310,284,26,0.2298,0.70662,276,249,27,0.1975,0.329507,305,271,34,0.169433,6
0.8,0.95,0.05,0.35,0.5,0.1181,0.239785,331,314,17,0.1254,0.244845,303,285,18,0.188,0.406399,265,240,25,0.1574,0.19879,310,284,26,0.2296,0.706396,276,249,27,0.1979,0.330047,304,271,33,0.1694,6
0.8,0.9,0.04,0.35,0.5,0.1219,0.245585,330,314,16,0.1207,0.244051,300,285,15,0.1855,0.403655,262,240,22,0.1576,0.199793,310,284,26,0.2307,0.708686,273,249,24,0.1984,0.329988,299,271,28,0.169133,6
0.8,0.9,0.05,0.35,0.5,0.1219,0.245585,330,314,16,0.1199,0.242014,300,285,15,0.1855,0.403619,262,240,22,0.1575,0.199813,310,284,26,0.2304,0.708339,273,249,24,0.1986,0.330799,297,271,26,0.168967,6
0.8,0.85,0.04,0.25,0.35,0.1179,0.251901,328,314,14,0.1151,0.271523,300,285,15,0.1713,0.392931,257,240,17,0.1459,0.210363,307,284,23,0.2622,0.774486,267,249,18,0.201,0.394308,292,272,20,0.1689,6
0.8,0.9,0.03,0.35,0.5,0.1208,0.243012,330,314,16,0.1184,0.235833,301,285,16,0.1856,0.403677,263,240,23,0.1589,0.200574,311,284,27,0.2287,0.704665,274,249,25,0.1981,0.329217,302,271,31,0.168417,6
0.8,0.85,0.04,0.25,0.5,0.1189,0.249134,328,314,14,0.1133,0.260019,300,285,15,0.1768,0.391272,257,240,17,0.1487,0.207363,307,284,23,0.259,0.756399,267,249,18,0.193,0.371704,292,272,20,0.168283,6
0.8,0.85,0.03,0.35,0.5,0.1187,0.241117,328,314,14,0.1197,0.240503,300,285,15,0.1849,0.401989,259,240,19,0.1547,0.196619,310,284,26,0.2485,0.751386,269,249,20,0.1827,0.35466,296,272,24,0.1682,6
0.8,0.85,0.05,0.25,0.5,0.1179,0.249146,326,314,12,0.1126,0.257833,300,285,15,0.1759,0.391089,257,240,17,0.1488,0.224264,305,285,20,0.2575,0.7554,266,249,17,0.1951,0.376212,290,272,18,0.167967,6
0.8,0.85,0.05,0.25,0.35,0.116,0.251679,326,314,12,0.114,0.268162,300,285,15,0.1705,0.392574,257,240,17,0.1416,0.219149,305,285,20,0.2608,0.775317,266,249,17,0.202,0.400485,290,272,18,0.167483,6
0.75,0.85,0.04,0.35,0.5,0.1172,0.234513,328,312,16,0.1142,0.224202,301,285,16,0.1815,0.370648,258,236,22,0.1626,0.185701,303,278,25,0.227,0.666212,269,249,20,0.1974,0.336917,291,267,24,0.16665,6
0.8,0.85,0.03,0.25,0.35,0.118,0.250195,328,314,14,0.1156,0.272861,300,285,15,0.1758,0.401554,259,240,19,0.1481,0.207393,310,284,26,0.2515,0.7498,269,249,20,0.1902,0.372407,296,272,24,0.166533,6
0.75,0.9,0.04,0.35,0.5,0.1193,0.236435,330,312,18,0.1155,0.228274,301,285,16,0.1851,0.378138,263,236,27,0.166,0.186258,306,278,28,0.2144,0.638736,275,249,26,0.1988,0.324279,297,267,30,0.166517,6
0.75,0.85,0.03,0.35,0.5,0.1169,0.233245,329,312,17,0.1145,0.224767,301,285,16,0.1839,0.37573,260,236,24,0.1635,0.184874,306,278,28,0.2223,0.656777,271,249,22,0.1972,0.336201,294,267,27,0.166383,6
0.8,0.95,0.03,0.25,0.5,0.1182,0.249107,331,314,17,0.1206,0.276522,303,285,18,0.1803,0.404323,265,240,25,0.1536,0.211617,311,284,27,0.2292,0.691783,276,249,27,0.1962,0.339649,307,271,36,0.16635,6
0.75,0.85,0.05,0.35,0.5,0.1173,0.234741,327,312,15,0.1136,0.22265,301,285,16,0.1812,0.370477,258,236,22,0.1616,0.19567,301,279,22,0.2265,0.665835,268,249,19,0.1978,0.337641,289,267,22,0.166333,6
0.75,0.9,0.05,0.35,0.5,0.1193,0.236435,330,312,18,0.1147,0.226257,301,285,16,0.185,0.378114,263,236,27,0.1659,0.186275,306,278,28,0.2143,0.63859,275,249,26,0.1988,0.324721,295,267,28,0.166333,6
0.8,0.95,0.03,0.25,0.35,0.1182,0.249107,331,314,17,0.1195,0.274509,303,285,18,0.1803,0.404323,265,240,25,0.1517,0.210494,311,284,27,0.2305,0.696004,276,249,27,0.1978,0.343123,307,271,36,0.166333,6
0.8,0.85,0.04,0.2,0.35,0.1167,0.255489,328,314,14,0.1103,0.286004,300,285,15,0.1656,0.386902,257,240,17,0.1399,0.212825,307,284,23,0.2617,0.76591,267,249,18,0.2026,0.397969,292,272,20,0.166133,6
0.75,0.95,0.03,0.35,0.5,0.1165,0.232254,331,312,19,0.1152,0.223139,304,285,19,0.1858,0.379008,266,236,30,0.167,0.185939,307,278,29,0.214,0.637864,278,249,29,0.1982,0.323589,305,267,38,0.166117,6
0.75,0.9,0.03,0.35,0.5,0.1185,0.234581,330,312,18,0.1132,0.220131,302,285,17,0.1851,0.378158,264,236,28,0.1673,0.18692,307,278,29,0.2135,0.637038,276,249,27,0.1987,0.323848,300,267,33,0.16605,6
0.8,0.85,0.04,0.2,0.5,0.1186,0.252562,328,314,14,0.1083,0.27239,300,285,15,0.1721,0.384454,257,240,17,0.1439,0.209998,307,284,23,0.2584,0.746418,267,249,18,0.1942,0.373701,292,272,20,0.165917,6
0.75,0.95,0.04,0.35,0.5,0.1165,0.232254,331,312,19,0.115,0.222735,304,285,19,0.1858,0.379008,266,236,30,0.1658,0.185408,306,278,28,0.214,0.637864,278,249,29,0.1983,0.323891,303,267,36,0.1659,6
0.75,0.95,0.05,0.35,0.5,0.1165,0.232254,331,312,19,0.1146,0.221627,304,285,19,0.1858,0.379008,266,236,30,0.1658,0.185408,306,278,28,0.2139,0.637769,278,249,29,0.1986,0.324194,302,267,35,0.165867,6
0.8,0.95,0.04,0.25,0.35,0.1182,0.249107,331,314,17,0.1191,0.273507,303,285,18,0.1803,0.404323,265,240,25,0.1486,0.208532,310,284,26,0.2305,0.696004,276,249,27,0.1985,0.345163,305,271,34,0.165867,6
0.8,0.95,0.05,0.25,0.35,0.1182,0.249107,331,314,17,0.1183,0.27099,303,285,18,0.1803,0.404323,265,240,25,0.1486,0.208532,310,284,26,0.2301,0.695474,276,249,27,0.1994,0.346822,304,271,33,0.165817,6
0.8,0.95,0.04,0.25,0.5,0.1182,0.249107,331,314,17,0.1202,0.275514,303,285,18,0.1803,0.404323,265,240,25,0.1502,0.209594,310,284,26,0.2292,0.691783,276,249,27,0.1967,0.341132,305,271,34,0.1658,6
0.8,0.9,0.04,0.25,0.5,0.1217,0.254725,330,314,16,0.1162,0.271014,300,285,15,0.1797,0.400367,262,240,22,0.1507,0.210283,310,284,26,0.2299,0.693434,273,249,24,0.1965,0.339318,299,271,28,0.165783,6
