window,feature,w1,w2,rank,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight,000300_avg_ann,000300_sigma_ann,000300_final_xirr,000905_avg_ann,000905_sigma_ann,000905_final_xirr,000852_avg_ann,000852_sigma_ann,000852_final_xirr,000016_avg_ann,000016_sigma_ann,000016_final_xirr,000688_avg_ann,000688_sigma_ann,000688_final_xirr,399006_avg_ann,399006_sigma_ann,399006_final_xirr,399330_avg_ann,399330_sigma_ann,399330_final_xirr
6,PE_only,1.0,0.0,1,0.018905,0.1,0.15,0.35,0.7,0.7,0.8,0.95,0.0,0.0,0.0,0.06,0.05,0.030863,0.098626,0.0752,0.003675,0.117307,0.0682,-0.010143,0.120371,0.0966,0.031708,0.075823,0.0415,-0.005518,0.172873,0.0547,0.022024,0.079673,0.1872,0.059729,0.071611,0.1533
6,PE_only,1.0,0.0,2,0.018828,0.1,0.15,0.35,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.06,0.04,0.031343,0.098368,0.0679,0.003242,0.117986,0.0694,-0.009718,0.120777,0.0561,0.032047,0.075456,0.0405,-0.005658,0.172479,0.0568,0.020447,0.0784,0.1872,0.060097,0.071082,0.1575
6,PE_only,1.0,0.0,3,0.018725,0.1,0.15,0.4,0.7,0.7,0.8,0.95,0.0,0.0,0.0,0.06,0.03,0.03018,0.097221,0.0818,-0.001438,0.113694,0.0742,-0.01231,0.118654,0.0975,0.039489,0.075384,0.0636,-0.006029,0.172748,0.0313,0.022399,0.079927,0.188,0.058787,0.069985,0.1772
6,PE_only,1.0,0.0,4,0.018231,0.1,0.15,0.35,0.7,0.65,0.75,0.95,0.0,0.0,0.0,0.1,0.05,0.030249,0.098128,0.0685,0.00284,0.118262,0.0669,-0.011146,0.12061,0.0556,0.032454,0.077039,0.0406,-0.005711,0.172472,0.0552,0.019385,0.078002,0.1866,0.059544,0.070867,0.1777
6,PE_only,1.0,0.0,5,0.018198,0.15,0.2,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.08,0.03,0.032622,0.096812,0.0751,-0.00458,0.11737,0.0708,-0.012669,0.121569,0.0675,0.03981,0.075696,0.0642,-0.006135,0.172514,0.0269,0.020002,0.07834,0.1859,0.058333,0.069602,0.1765
6,PE_PB,1.0,0.0,1,0.013558,0.1,0.15,0.35,0.7,0.65,0.75,0.95,0.0,0.65,0.0,0.1,0.05,0.02474,0.09894,0.0713,-0.000557,0.119133,0.0691,-0.02305,0.129818,0.0695,0.028265,0.080543,0.044,-0.007333,0.174089,0.0575,0.015561,0.078473,0.1885,0.057279,0.073742,0.1802
6,PE_PB,1.0,0.0,2,0.013246,0.05,0.15,0.4,0.65,0.7,0.8,0.95,0.0,0.65,0.0,0.1,0.03,0.022886,0.100093,0.085,-0.006834,0.114122,0.0777,-0.025619,0.13104,0.1129,0.033458,0.086282,0.0671,-0.009111,0.175884,0.0329,0.02088,0.078574,0.1976,0.057059,0.070027,0.1998
6,PE_PB,1.0,0.0,3,0.012898,0.1,0.15,0.4,0.65,0.75,0.8,0.95,0.0,0.65,0.0,0.12,0.05,0.022156,0.100653,0.0778,-0.002896,0.120247,0.071,-0.024092,0.131314,0.1108,0.028698,0.083908,0.043,-0.007515,0.175795,0.0611,0.017572,0.08062,0.1902,0.056367,0.075808,0.176
6,PE_PB,1.0,0.0,4,0.012785,0.05,0.15,0.45,0.7,0.7,0.8,0.95,0.0,0.65,0.0,0.08,0.04,0.022152,0.098139,0.077,0.000719,0.115673,0.0747,-0.024248,0.134404,0.1121,0.023046,0.081182,0.0433,-0.00911,0.175135,0.0629,0.020127,0.077637,0.1956,0.056808,0.069666,0.1549
6,PE_PB,1.0,0.0,5,0.011964,0.1,0.2,0.35,0.65,0.65,0.8,0.95,0.0,0.65,0.0,0.06,0.04,0.022498,0.100881,0.0785,-0.005936,0.123604,0.0725,-0.027005,0.136012,0.108,0.028144,0.084089,0.0429,-0.007426,0.175862,0.0598,0.017511,0.080901,0.1906,0.055964,0.07568,0.1747
