指数,代码,持有期,起点,终点,XIRR,总投入,终值,交易
沪深300,000300,3yr,2014-01-08,2017-01-08,85.9,44500,29429,56
沪深300,000300,3yr,2016-04-08,2019-04-08,73.99,34000,43140,40
沪深300,000300,3yr,2013-10-08,2016-10-08,73.38,63000,38994,70
沪深300,000300,3yr,2013-07-08,2016-07-08,66.46,79500,48459,83
沪深300,000300,3yr,2013-04-08,2016-04-08,61.64,92500,54709,96
沪深300,000300,3yr,2013-01-08,2016-01-08,61.59,96500,56628,108
沪深300,000300,3yr,2012-10-08,2015-10-08,51.93,113000,65612,119
沪深300,000300,3yr,2012-07-08,2015-07-08,46.03,131000,77634,130
沪深300,000300,3yr,2019-01-08,2022-01-08,37.41,25000,8322,72
沪深300,000300,3yr,2018-10-08,2021-10-08,36.67,42000,17341,85
沪深300,000300,3yr,2018-07-08,2021-07-08,35.64,50750,21600,97
沪深300,000300,3yr,2018-04-08,2021-04-08,32.91,52250,21822,100
沪深300,000300,3yr,2016-07-08,2019-07-08,31.37,37000,43957,50
沪深300,000300,3yr,2019-07-08,2022-07-08,31.28,30750,18293,71
沪深300,000300,3yr,2012-04-08,2015-04-08,30.79,147000,116258,140
沪深300,000300,3yr,2012-01-08,2015-01-08,27.23,160500,200612,150
沪深300,000300,3yr,2017-07-08,2020-07-08,26.35,52250,57579,93
沪深300,000300,3yr,2018-01-08,2021-01-08,26.18,52250,27773,97
沪深300,000300,3yr,2019-04-08,2022-04-08,25.51,21250,4797,67
沪深300,000300,3yr,2017-01-08,2020-01-08,23.6,43250,53650,74
沪深300,000300,3yr,2017-10-08,2020-10-08,22.95,52250,36181,95
沪深300,000300,3yr,2023-07-08,2026-07-08,19.38,35500,4610,60
沪深300,000300,3yr,2016-10-08,2019-10-08,19.35,40250,46558,63
沪深300,000300,3yr,2023-04-08,2026-04-08,15.36,41250,4560,72
沪深300,000300,3yr,2020-01-08,2023-01-08,11.78,53500,45436,71
沪深300,000300,3yr,2023-01-08,2026-01-08,10.31,46750,4510,81
沪深300,000300,3yr,2017-04-08,2020-04-08,10.26,49250,54955,85
沪深300,000300,3yr,2019-10-08,2022-10-08,9.38,39750,26941,70
沪深300,000300,3yr,2021-10-08,2024-10-08,8.69,91250,86333,112
沪深300,000300,3yr,2020-04-08,2023-04-08,8.33,53500,51929,73
沪深300,000300,3yr,2022-10-08,2025-10-08,5.44,63750,6226,92
沪深300,000300,3yr,2022-07-08,2025-07-08,3.01,76250,6266,105
沪深300,000300,3yr,2011-10-08,2014-10-08,2.78,178250,186124,156
沪深300,000300,3yr,2022-01-08,2025-01-08,1.4,91250,30045,116
沪深300,000300,3yr,2022-04-08,2025-04-08,1.26,88750,14281,115
沪深300,000300,3yr,2015-10-08,2018-10-08,0.9,11250,11263,18
沪深300,000300,3yr,2014-04-08,2017-04-08,0.0,25000,16579,45
沪深300,000300,3yr,2014-07-08,2017-07-08,0.0,8500,5054,34
沪深300,000300,3yr,2014-10-08,2017-10-08,0.0,2000,994,23
沪深300,000300,3yr,2015-01-08,2018-01-08,0.0,0,0,0
沪深300,000300,3yr,2015-04-08,2018-04-08,0.0,0,0,0
沪深300,000300,3yr,2015-07-08,2018-07-08,0.0,1500,1376,5
沪深300,000300,3yr,2010-01-08,2013-01-08,-2.78,138000,133701,153
沪深300,000300,3yr,2010-10-08,2013-10-08,-3.73,156000,148063,155
沪深300,000300,3yr,2020-07-08,2023-07-08,-4.42,55750,53889,68
沪深300,000300,3yr,2010-04-08,2013-04-08,-4.83,140000,131321,155
沪深300,000300,3yr,2021-04-08,2024-04-08,-5.72,87500,82046,104
沪深300,000300,3yr,2011-07-08,2014-07-08,-6.4,189500,171955,156
沪深300,000300,3yr,2020-10-08,2023-10-08,-6.83,63500,59714,80
沪深300,000300,3yr,2021-07-08,2024-07-08,-7.37,87500,78981,104
沪深300,000300,3yr,2011-01-08,2014-01-08,-7.56,170000,152366,155
沪深300,000300,3yr,2011-04-08,2014-04-08,-7.86,184000,163608,156
沪深300,000300,3yr,2010-07-08,2013-07-08,-11.39,147500,125691,155
沪深300,000300,3yr,2009-04-08,2012-04-08,-11.6,90500,81443,127
沪深300,000300,3yr,2009-07-08,2012-07-08,-12.43,105500,93282,136
沪深300,000300,3yr,2009-10-08,2012-10-08,-14.44,123750,106102,144
沪深300,000300,3yr,2021-01-08,2024-01-08,-14.62,80500,69717,94
沪深300,000300,3yr,2009-01-08,2012-01-08,-18.27,86250,71654,127
沪深300,000300,3yr,2016-01-08,2019-01-08,-22.51,28750,27209,31
沪深300,000300,5yr,2014-07-08,2019-07-08,84.56,27000,14964,85
沪深300,000300,5yr,2014-04-08,2019-04-08,81.94,43250,33286,91
沪深300,000300,5yr,2014-10-08,2019-10-08,75.15,18750,16690,85
沪深300,000300,5yr,2014-01-08,2019-01-08,73.28,61000,48561,99
沪深300,000300,5yr,2013-10-08,2018-10-08,65.31,75750,64235,100
沪深300,000300,5yr,2013-07-08,2018-07-08,60.39,91000,79320,102
沪深300,000300,5yr,2013-04-08,2018-04-08,56.07,106000,90436,113
沪深300,000300,5yr,2013-01-08,2018-01-08,54.02,114000,95234,123
沪深300,000300,5yr,2012-10-08,2017-10-08,50.03,133000,110880,134
沪深300,000300,5yr,2012-07-08,2017-07-08,46.74,151000,124874,144
沪深300,000300,5yr,2012-04-08,2017-04-08,43.39,168500,135267,154
沪深300,000300,5yr,2012-01-08,2017-01-08,40.65,184500,144933,163
沪深300,000300,5yr,2016-07-08,2021-07-08,38.85,27750,9759,92
沪深300,000300,5yr,2016-10-08,2021-10-08,37.35,27750,9661,92
沪深300,000300,5yr,2011-10-08,2016-10-08,36.4,204000,155274,172
沪深300,000300,5yr,2017-01-08,2022-01-08,34.15,29000,9631,97
沪深300,000300,5yr,2011-07-08,2016-07-08,32.22,222000,161766,183
沪深300,000300,5yr,2016-04-08,2021-04-08,31.88,27750,9625,88
沪深300,000300,5yr,2011-01-08,2016-01-08,30.9,241750,171369,208
沪深300,000300,5yr,2011-04-08,2016-04-08,30.74,236000,165990,196
沪深300,000300,5yr,2015-07-08,2020-07-08,30.69,27750,29222,82
沪深300,000300,5yr,2010-10-08,2015-10-08,29.76,242250,167705,208
沪深300,000300,5yr,2016-01-08,2021-01-08,29.38,27750,14095,86
沪深300,000300,5yr,2017-04-08,2022-04-08,28.91,31250,9124,103
沪深300,000300,5yr,2010-07-08,2015-07-08,28.87,242250,174261,207
沪深300,000300,5yr,2010-04-08,2015-04-08,25.56,242250,338864,204
沪深300,000300,5yr,2015-10-08,2020-10-08,25.17,27750,18362,84
沪深300,000300,5yr,2015-01-08,2020-01-08,24.62,17500,20981,62
沪深300,000300,5yr,2017-07-08,2022-07-08,24.07,40000,15628,115
沪深300,000300,5yr,2010-01-08,2015-01-08,20.52,242250,361454,203
沪深300,000300,5yr,2018-01-08,2023-01-08,18.58,65500,40053,140
沪深300,000300,5yr,2017-10-08,2022-10-08,18.27,48500,21457,127
沪深300,000300,5yr,2018-04-08,2023-04-08,17.95,70250,46145,152
沪深300,000300,5yr,2019-10-08,2024-10-08,15.22,101500,106796,171
沪深300,000300,5yr,2018-07-08,2023-07-08,11.79,74500,47763,163
沪深300,000300,5yr,2021-07-08,2026-07-08,11.19,88500,21600,139
沪深300,000300,5yr,2021-04-08,2026-04-08,9.26,88500,20541,138
沪深300,000300,5yr,2020-10-08,2025-10-08,9.23,88500,88213,131
沪深300,000300,5yr,2021-01-08,2026-01-08,9.11,88500,37155,135
沪深300,000300,5yr,2015-04-08,2020-04-08,8.84,24500,26189,73
沪深300,000300,5yr,2018-10-08,2023-10-08,7.14,78750,52616,165
沪深300,000300,5yr,2020-07-08,2025-07-08,3.05,88500,94441,130
沪深300,000300,5yr,2020-01-08,2025-01-08,2.78,98500,90532,159
沪深300,000300,5yr,2009-10-08,2014-10-08,0.34,238750,240232,195
沪深300,000300,5yr,2019-04-08,2024-04-08,-0.08,98500,77307,172
沪深300,000300,5yr,2020-04-08,2025-04-08,-1.09,92750,85977,150
沪深300,000300,5yr,2019-07-08,2024-07-08,-3.38,98750,76256,173
沪深300,000300,5yr,2019-01-08,2024-01-08,-5.87,91250,63023,166
沪深300,000300,5yr,2009-07-08,2014-07-08,-7.19,227750,201953,182
沪深300,000300,5yr,2009-01-08,2014-01-08,-7.92,190750,170029,156
沪深300,000300,5yr,2009-04-08,2014-04-08,-8.31,210250,184798,169
沪深300,000300,10yr,2011-07-08,2021-07-08,21.3,19000,9291,85
沪深300,000300,10yr,2011-10-08,2021-10-08,20.84,19000,9227,85
沪深300,000300,10yr,2012-01-08,2022-01-08,20.48,19000,9225,85
沪深300,000300,10yr,2016-07-08,2026-07-08,19.77,63000,19382,202
沪深300,000300,10yr,2012-04-08,2022-04-08,19.76,19250,9008,86
沪深300,000300,10yr,2011-04-08,2021-04-08,18.63,19000,9222,81
沪深300,000300,10yr,2012-07-08,2022-07-08,17.93,21500,9395,95
沪深300,000300,10yr,2016-04-08,2026-04-08,17.01,66250,20463,212
沪深300,000300,10yr,2009-04-08,2019-04-08,15.33,16250,20878,63
沪深300,000300,10yr,2011-01-08,2021-01-08,15.15,19000,10572,79
沪深300,000300,10yr,2014-10-08,2024-10-08,15.06,66000,59841,203
沪深300,000300,10yr,2012-10-08,2022-10-08,14.82,24000,8606,105
沪深300,000300,10yr,2016-01-08,2026-01-08,14.2,69250,22795,221
沪深300,000300,10yr,2010-07-08,2020-07-08,14.18,19000,21917,75
沪深300,000300,10yr,2010-10-08,2020-10-08,13.24,19000,13772,77
沪深300,000300,10yr,2013-04-08,2023-04-08,12.8,32500,15743,130
沪深300,000300,10yr,2013-01-08,2023-01-08,12.79,29500,12322,118
沪深300,000300,10yr,2015-10-08,2025-10-08,12.6,69250,42380,217
沪深300,000300,10yr,2013-07-08,2023-07-08,11.32,35750,17876,143
沪深300,000300,10yr,2010-01-08,2020-01-08,11.21,17000,21951,66
沪深300,000300,10yr,2009-07-08,2019-07-08,10.52,17000,20552,66
沪深300,000300,10yr,2013-10-08,2023-10-08,10.24,39500,20943,155
沪深300,000300,10yr,2015-07-08,2025-07-08,9.36,69250,56715,215
沪深300,000300,10yr,2015-01-08,2025-01-08,9.21,66750,51568,206
沪深300,000300,10yr,2014-04-08,2024-04-08,8.73,57000,38240,181
沪深300,000300,10yr,2009-10-08,2019-10-08,8.54,17000,20249,66
沪深300,000300,10yr,2014-01-08,2024-01-08,6.97,50500,29304,169
沪深300,000300,10yr,2015-04-08,2025-04-08,6.91,68250,50508,211
沪深300,000300,10yr,2014-07-08,2024-07-08,6.72,59750,39474,192
沪深300,000300,10yr,2010-04-08,2020-04-08,6.49,18250,21301,71
沪深300,000300,10yr,2009-01-08,2019-01-08,-2.9,15000,14354,58
上证50,000016,3yr,2014-01-08,2017-01-08,95.23,50500,34226,59
上证50,000016,3yr,2013-10-08,2016-10-08,79.62,69000,43823,71
上证50,000016,3yr,2013-07-08,2016-07-08,70.62,87000,54109,84
上证50,000016,3yr,2016-04-08,2019-04-08,70.55,20750,25437,40
上证50,000016,3yr,2013-01-08,2016-01-08,64.57,104250,61295,108
上证50,000016,3yr,2013-04-08,2016-04-08,64.2,101000,59940,97
上证50,000016,3yr,2012-10-08,2015-10-08,55.79,119250,68796,120
上证50,000016,3yr,2012-07-08,2015-07-08,49.89,137250,82324,131
上证50,000016,3yr,2016-07-08,2019-07-08,36.92,24000,28624,48
上证50,000016,3yr,2012-01-08,2015-01-08,33.23,160750,211689,150
上证50,000016,3yr,2012-04-08,2015-04-08,32.92,150250,101713,141
上证50,000016,3yr,2018-07-08,2021-07-08,31.02,55000,14621,99
上证50,000016,3yr,2018-10-08,2021-10-08,30.81,51500,13069,87
上证50,000016,3yr,2019-01-08,2022-01-08,30.73,42250,9348,74
上证50,000016,3yr,2019-04-08,2022-04-08,27.69,36500,6516,68
上证50,000016,3yr,2020-01-08,2023-01-08,26.95,42750,23988,70
上证50,000016,3yr,2017-07-08,2020-07-08,26.88,56250,57098,94
上证50,000016,3yr,2018-04-08,2021-04-08,26.11,56250,15130,101
上证50,000016,3yr,2018-01-08,2021-01-08,23.78,56250,26416,98
上证50,000016,3yr,2019-07-08,2022-07-08,22.46,36500,6784,70
上证50,000016,3yr,2017-01-08,2020-01-08,22.19,35250,41532,72
上证50,000016,3yr,2019-10-08,2022-10-08,21.66,34750,9589,69
上证50,000016,3yr,2023-07-08,2026-07-08,21.53,22500,3099,52
上证50,000016,3yr,2016-10-08,2019-10-08,21.38,30250,34454,61
上证50,000016,3yr,2017-10-08,2020-10-08,20.22,56250,35185,96
上证50,000016,3yr,2023-04-08,2026-04-08,16.33,27000,3180,63
上证50,000016,3yr,2020-04-08,2023-04-08,15.44,36000,26625,71
上证50,000016,3yr,2015-10-08,2018-10-08,12.79,5000,5104,18
上证50,000016,3yr,2021-10-08,2024-10-08,9.55,52500,41045,100
上证50,000016,3yr,2023-01-08,2026-01-08,9.09,30750,3266,71
上证50,000016,3yr,2022-10-08,2025-10-08,5.88,44250,5343,83
上证50,000016,3yr,2017-04-08,2020-04-08,5.0,47250,49159,84
上证50,000016,3yr,2022-07-08,2025-07-08,4.38,48500,5308,95
上证50,000016,3yr,2022-01-08,2025-01-08,3.19,52500,13154,104
上证50,000016,3yr,2022-04-08,2025-04-08,3.19,51500,6469,103
上证50,000016,3yr,2010-01-08,2013-01-08,2.27,164750,169896,154
上证50,000016,3yr,2011-10-08,2014-10-08,0.31,176500,177306,155
上证50,000016,3yr,2014-04-08,2017-04-08,0.0,31000,20501,50
上证50,000016,3yr,2014-07-08,2017-07-08,0.0,13500,8317,40
上证50,000016,3yr,2014-10-08,2017-10-08,0.0,3750,2102,29
上证50,000016,3yr,2015-01-08,2018-01-08,0.0,0,0,0
上证50,000016,3yr,2015-04-08,2018-04-08,0.0,0,0,0
上证50,000016,3yr,2015-07-08,2018-07-08,0.0,1250,1146,5
上证50,000016,3yr,2010-04-08,2013-04-08,-2.19,165500,159919,154
上证50,000016,3yr,2021-04-08,2024-04-08,-3.27,51000,49397,94
上证50,000016,3yr,2020-10-08,2023-10-08,-3.85,34750,33739,74
上证50,000016,3yr,2021-07-08,2024-07-08,-4.06,51000,48512,94
上证50,000016,3yr,2010-10-08,2013-10-08,-4.86,172250,159712,154
上证50,000016,3yr,2011-07-08,2014-07-08,-6.45,185250,168387,155
上证50,000016,3yr,2020-07-08,2023-07-08,-7.58,30000,28565,63
上证50,000016,3yr,2011-04-08,2014-04-08,-8.2,183750,162359,155
上证50,000016,3yr,2011-01-08,2014-01-08,-8.77,177250,154976,154
上证50,000016,3yr,2009-04-08,2012-04-08,-8.88,124750,113118,139
上证50,000016,3yr,2009-07-08,2012-07-08,-9.36,135750,121183,144
上证50,000016,3yr,2010-07-08,2013-07-08,-10.46,169750,143350,154
上证50,000016,3yr,2009-10-08,2012-10-08,-10.78,153500,133574,150
上证50,000016,3yr,2021-01-08,2024-01-08,-13.06,45500,40742,88
上证50,000016,3yr,2009-01-08,2012-01-08,-16.28,121750,102231,139
上证50,000016,3yr,2016-01-08,2019-01-08,-20.78,15500,14838,31
上证50,000016,5yr,2014-04-08,2019-04-08,65.87,50250,36238,90
上证50,000016,5yr,2014-07-08,2019-07-08,65.59,33250,19202,83
上证50,000016,5yr,2014-01-08,2019-01-08,61.98,67750,52141,97
上证50,000016,5yr,2013-10-08,2018-10-08,56.27,84000,67725,97
上证50,000016,5yr,2013-07-08,2018-07-08,52.17,102750,82513,107
上证50,000016,5yr,2014-10-08,2019-10-08,51.79,21500,13092,81
上证50,000016,5yr,2013-04-08,2018-04-08,48.67,118250,92156,120
上证50,000016,5yr,2013-01-08,2018-01-08,47.13,125000,95416,130
上证50,000016,5yr,2012-10-08,2017-10-08,43.4,142500,106991,141
上证50,000016,5yr,2012-07-08,2017-07-08,40.44,160500,118999,152
上证50,000016,5yr,2012-04-08,2017-04-08,37.19,177000,126894,163
上证50,000016,5yr,2012-01-08,2017-01-08,33.4,190000,132884,172
上证50,000016,5yr,2016-07-08,2021-07-08,33.26,31500,7484,82
上证50,000016,5yr,2016-10-08,2021-10-08,31.82,31500,7335,82
上证50,000016,5yr,2017-01-08,2022-01-08,30.86,31500,7345,82
上证50,000016,5yr,2015-07-08,2020-07-08,27.83,35000,31646,100
